"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"TopFolder","Folder","REVIEW","MEDIUM","MANUAL_REVIEW_LARGE_FOLDER","C:\Users\tonyk\OneDrive\Documents","48194364167","44.88 GB","279870","大型資料夾，但未命中舊 coding pattern；需人工確認。"
"TopFolder","Folder","REVIEW","MEDIUM","MANUAL_REVIEW_LARGE_FOLDER","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","14774468812","13.76 GB","155024","大型資料夾，但未命中舊 coding pattern；需人工確認。"
"TopFolder","Folder","REVIEW","MEDIUM","MANUAL_REVIEW_LARGE_FOLDER","C:\Users\tonyk\OneDrive\桌面","7038116116","6.55 GB","29341","大型資料夾，但未命中舊 coding pattern；需人工確認。"
"TopFolder","Folder","REVIEW","MEDIUM","MANUAL_REVIEW_LARGE_FOLDER","C:\Users\tonyk\OneDrive\Desktop","3559041608","3.31 GB","37258","大型資料夾，但未命中舊 coding pattern；需人工確認。"
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_venv","2240414285","2.09 GB","54822","Python env / venv. Do not remove unless duplicate or archived."
"TopFolder","Folder","REVIEW","MEDIUM","MANUAL_REVIEW_LARGE_FOLDER","C:\Users\tonyk\OneDrive\圖片","1562546933","1.46 GB","3748","大型資料夾，但未命中舊 coding pattern；需人工確認。"
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\VeritasGlyphForge\venv","847702278","808.43 MB","26682","Python env / venv. Do not remove unless duplicate or archived."
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs","715064026","681.94 MB","11757","Python env / venv. Do not remove unless duplicate or archived."
"PythonEnv","venv","REVIEW","MEDIUM","REVIEW_ENV","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\supportive_module\others\.venv","600842799","573.01 MB","11160","Python env / venv. Do not remove unless duplicate or archived."
"LargeFile",".pyd","REVIEW","MEDIUM","MANUAL_REVIEW_DOWNLOADS_HISTORY","C:\Users\tonyk\Downloads\backup_veritas\20251019_181953\VeritasReportNova\.venv\Lib\site-packages\_polars_runtime_32\_polars_runtime_32.pyd","141357568","134.81 MB","1","Downloads 是過去紀錄來源，先人工確認。"
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\OneDrive\Pictures","60252782","57.46 MB","575","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\export (1)","30745218","29.32 MB","8","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\__pycache__","27070993","25.82 MB","443","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\taiwan_stock_venv","22275168","21.24 MB","1876","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VDS_Output","17332437","16.53 MB","9","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\veritas_real_test","13647872","13.02 MB","1","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VIA_Home_YuguoTianqing_UI_Package","1884965","1.80 MB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VeritaIntelligenceAnalytics_6","1213461","1.16 MB","28","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VeritaIntelligenceAnalytics","1213461","1.16 MB","28","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\VeritaIntelligenceAnalytics_5","1213461","1.16 MB","28","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\DRUCK    Macro Terminal","749723","732.15 KB","4","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\favicon_io (1)","394575","385.33 KB","7","Inventory only."
"TopFolder","Folder","REVIEW","LOW","KEEP_REVIEW","C:\Users\tonyk\Downloads\veritas_pkg","384503","375.49 KB","8","Inventory only."
