"Layer","Category","Decision","Risk","Action","Path","Bytes","Size","FileCount","Reason"
"TopFolder","Folder","KEEP","LOW","PROTECTED_CURRENT_PROJECT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","2925674769","2.72 GB","26884","唯一現役專案根目錄，硬白名單保護。"
"LargeFile",".exe","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\dotnet-sdk-9.0.305-win-x64.exe","226741024","216.24 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".zip","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\jdk-25_windows-x64_bin.zip","214226569","204.30 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".exe","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\CursorUserSetup-x64-2.4.21.exe","184462192","175.92 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".exe","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\CursorUserSetup-x64-2.4.27.exe","179002848","170.71 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".json","KEEP","LOW","PROTECTED_CURRENT_PROJECT","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\ASSETS\SCOPE_COPY\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL070_VRN_v141D6_Extracted_Data_Full_Validation__GOVERNANCE__v141D6.json","157747533","150.44 MB","1","現役唯一專案內檔案，保護。"
"LargeFile",".exe","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\VSCodeUserSetup-arm64-1.114.0.exe","134513408","128.28 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".msix","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\OneDrive\圖片\Python Image\Input\TradingView.msix","125645745","119.83 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".zip","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\PowerShell-7.5.3-win-x64.zip","115185030","109.85 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".zip","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\PowerShell-7.5.2-win-x64.zip","115126006","109.79 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".zip","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\PowerShell-7.5.2-win-x64 (1).zip","115126006","109.79 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".exe","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\VSCodeUserSetup-x64-1.103.2.exe","114897568","109.57 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".msi","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\PowerShell-7.5.3-win-x64.msi","113729536","108.46 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".msi","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\Downloads\PowerShell-7.5.2-win-x64.msi","113086464","107.85 MB","1","工具鏈 / 基礎安裝相關，保護。"
"LargeFile",".db","KEEP","LOW","PROTECTED_TOOL_OR_SYSTEM","C:\Users\tonyk\OneDrive\桌面\python\dict\1-2-TWStockData\sqlite\taiwan_stocks.db","110862336","105.73 MB","1","工具鏈 / 基礎安裝相關，保護。"
"PythonEnv","venv","KEEP","LOW","PROTECTED_CURRENT_PROJECT_ENV","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\.venv","99712770","95.09 MB","5579","現役唯一專案內虛擬環境，保護。"
