"def_no","def_accelerator"
"1","A01 latest-v0111 auto discovery"
"2","A02 no BASE re-scan"
"3","A03 direct contract JSON validation"
"4","A04 bypass fragile smoke child scripts"
"5","A05 stdout/stderr tail extraction"
"6","A06 policy flag validation"
"7","A07 no source mutation"
"8","A08 no canonical merge"
"9","A09 no DB write"
"10","A10 P0 accept gate stays manual"
"11","A11 P1 path alias gate stays manual"
"12","A12 compact one-page HTML report"
"13","A13 CSV + JSON synchronized output"
"14","A14 next-command index"
"15","A15 no delete / no Stop-Process"
