"def_no","def_accelerator"
"1","A01 latest-v0113A auto discovery"
"2","A02 no BASE re-scan"
"3","A03 secret false-positive classifier"
"4","A04 true secret blocker isolation"
"5","A05 RUN_ID/path token false-positive classification"
"6","A06 policy text false-positive classification"
"7","A07 env-var reference classification"
"8","A08 P0 refined manual gate"
"9","A09 P1 refined manual gate"
"10","A10 user_accept remains blank"
"11","A11 no automatic YES"
"12","A12 no source mutation"
"13","A13 no canonical merge"
"14","A14 compact HTML report"
"15","A15 no delete / no Stop-Process"
