"def_no","def_accelerator"
"1","A01 latest-v0113B auto discovery"
"2","A02 no BASE re-scan"
"3","A03 remaining secret blockers isolated"
"4","A04 environment presence-only audit"
"5","A05 no secret value printed"
"6","A06 ticker_tokens false-positive candidate"
"7","A07 FRED env-only confirmation candidate"
"8","A08 FRED raw-key rotation warning"
"9","A09 manual secret resolution board"
"10","A10 manual P0/P1 board copied forward"
"11","A11 no automatic YES"
"12","A12 no source mutation"
"13","A13 no canonical merge"
"14","A14 compact HTML report"
"15","A15 no delete / no Stop-Process"
