"def_no","def_accelerator"
"1","A01 latest-v0113F auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 secret gate pass reuse"
"6","A06 P0 domain-family grouping"
"7","A07 P0 owner-engine grouping"
"8","A08 P0 key-risk classifier"
"9","A09 P1 alias compression"
"10","A10 safe default suggestions only"
"11","A11 no auto YES guard"
"12","A12 editable group-decision CSV"
"13","A13 row-to-group trace matrix"
"14","A14 v0114 precheck stays blocked"
"15","A15 compact HTML matrix report"
