"def_no","def_accelerator"
"1","A01 latest-v0113H auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 secret gate final reuse"
"6","A06 P0 safe recommendation draft fill"
"7","A07 P0 review group isolation"
"8","A08 P1 clean root draft fill"
"9","A09 P1 run-specific path draft reject"
"10","A10 P1 legacy/env draft defer"
"11","A11 edge review board"
"12","A12 row-level draft expansion"
"13","A13 v0113J precheck generated"
"14","A14 compact HTML matrix report"
"15","A15 no delete / no Stop-Process / no source mutation"
