"def_no","def_accelerator"
"1","A01 latest-v0113I auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 explicit final-state decision model"
"6","A06 P0 YES/DEFER/NO allowed-state gate"
"7","A07 P1 YES/YES_REFERENCE_ONLY/NO/DEFER allowed-state gate"
"8","A08 run-specific path remains NO"
"9","A09 legacy/env path remains DEFER"
"10","A10 MACRO_CHINA remains DEFER"
"11","A11 row-level final preview only"
"12","A12 no source mutation guard"
"13","A13 no canonical merge guard"
"14","A14 v0113K precheck generated"
"15","A15 compact HTML matrix report"
