"def_no","def_accelerator"
"1","A01 latest-v0113J auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 v0113J readiness reuse"
"6","A06 row-level final preview seal"
"7","A07 included/excluded consistency gate"
"8","A08 P0 final policy pack"
"9","A09 P1 final alias pack"
"10","A10 v0114 sandbox input JSON"
"11","A11 no source mutation guard"
"12","A12 no canonical merge guard"
"13","A13 no DB write guard"
"14","A14 v0114 preflight generated"
"15","A15 compact HTML matrix report"
