"def_no","def_accelerator"
"1","A01 hotfix rebuild without nested here-string"
"2","A02 AST syntax gate before run"
"3","A03 latest-v0113K auto discovery"
"4","A04 same-session NoClose execution"
"5","A05 no child process required"
"6","A06 no BASE re-scan"
"7","A07 row policy pack compiler"
"8","A08 P0 policy candidate compiler"
"9","A09 P1 alias candidate compiler"
"10","A10 diff preview only"
"11","A11 disabled apply boundary"
"12","A12 no source mutation scanner"
"13","A13 no canonical merge scanner"
"14","A14 no DB write scanner"
"15","A15 compact HTML matrix report"
