"def_no","def_accelerator"
"1","A01 latest-v0114A auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 artifact existence gate"
"6","A06 row/policy/alias count gate"
"7","A07 unique candidate id gate"
"8","A08 mutation flag scanner"
"9","A09 canonical merge flag scanner"
"10","A10 DB write flag scanner"
"11","A11 disabled apply boundary AST gate"
"12","A12 FRED raw secret forbidden scanner"
"13","A13 MACRO_CHINA exclusion gate"
"14","A14 alias path safety gate"
"15","A15 compact HTML validation report"
