"def_no","def_accelerator"
"1","A01 latest-v0114B auto discovery"
"2","A02 same-session NoClose execution"
"3","A03 no child process required"
"4","A04 no BASE re-scan"
"5","A05 v0114B readiness reuse"
"6","A06 v0114A candidate path bridge"
"7","A07 sandbox-only policy registry simulation"
"8","A08 sandbox-only alias registry simulation"
"9","A09 sandbox-only row mapping simulation"
"10","A10 count consistency gate"
"11","A11 unsafe flag scanner"
"12","A12 no source mutation scanner"
"13","A13 no canonical merge scanner"
"14","A14 no DB write scanner"
"15","A15 compact HTML dry-run report"
