"def_no","def_accelerator"
"1","A01 hotfix safe Join-Path foreach construction"
"2","A02 latest-v0114E auto discovery"
"3","A03 upstream v0114D/v0114C/v0114A bridge"
"4","A04 same-session NoClose execution"
"5","A05 no child process required"
"6","A06 package source artifact resolver"
"7","A07 package copy matrix"
"8","A08 generated README included"
"9","A09 generated disabled apply boundary included"
"10","A10 package checksum matrix"
"11","A11 ZIP package generation"
"12","A12 raw secret scanner"
"13","A13 MACRO_CHINA exclusion scanner"
"14","A14 no mutation/canonical/db scanner"
"15","A15 compact HTML package report"
