"def_no","def_accelerator"
"1","A01 latest-v0114G auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 same-session NoClose execution"
"4","A04 no child process required"
"5","A05 no BASE re-scan"
"6","A06 v0114G readiness reuse"
"7","A07 package validation seal carry-forward"
"8","A08 ZIP path carry-forward"
"9","A09 fail-zero gate"
"10","A10 package-count gate"
"11","A11 apply-disabled boundary gate"
"12","A12 source-mutation boundary gate"
"13","A13 canonical-merge boundary gate"
"14","A14 DB-write boundary gate"
"15","A15 compact HTML final review report"
