"def_no","def_accelerator"
"1","A01 latest-v0114L auto discovery"
"2","A02 NoStall no Read-Host"
"3","A03 exact final authorization phrase gate"
"4","A04 same-session NoClose execution"
"5","A05 no child process required"
"6","A06 no BASE re-scan"
"7","A07 v0114L readiness reuse"
"8","A08 final dryrun seal carry-forward"
"9","A09 dryrun row count validation"
"10","A10 simulate-only validation"
"11","A11 execution-disabled boundary gate"
"12","A12 apply-disabled boundary gate"
"13","A13 source-mutation boundary gate"
"14","A14 canonical/db-write boundary gate"
"15","A15 compact HTML authorization report"
