file_id,qualified,status,risk,score,elapsed_sec,pages,text_chars,ticker,report_date,broker,keyword_hits,reason,file_name,path
144913c917d9,True,QUALIFIED_FAST,LOW,100,0.2365,8,2738,6873,2025-08-19,兆豐,eps;買進;賣出;目標價;評等;調降;營收;獲利;投資評等;個股報告,,20250819兆豐個股報告-泓德能源(6873).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20250819兆豐個股報告-泓德能源(6873).pdf
e337b0a2e05d,True,QUALIFIED_FAST,LOW,100,0.2021,13,3582,3706,2025-08-22,國泰,eps;買進;目標價;評等;營收;獲利;每股盈餘;個股報告,,【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\【國泰證期研究部】神達(3706 TT)-初次評等買進(+30.4_)-大顯神威，營運騰達-20250822.pdf
a647dd1af7a3,True,QUALIFIED_FAST,LOW,100,0.352,7,3395,6768,2025-12-04,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等;個股報告,,20251204兆豐個股報告-志強-KY(6768).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251204兆豐個股報告-志強-KY(6768).pdf
dc367a89b6fb,True,QUALIFIED_FAST,LOW,100,0.2994,9,2774,4771,2026-05-19,兆豐,eps;買進;賣出;目標價;評等;營收;獲利;投資評等;個股報告,,20260519兆豐個股報告-望隼(4771).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20260519兆豐個股報告-望隼(4771).pdf
fc9e9d1ffdf9,True,QUALIFIED_FAST,LOW,100,0.4077,5,2878,3706,2025-11-28,兆豐,eps;買進;賣出;目標價;評等;營收;投資評等,,20251128兆豐訪談速報-神達(3706).pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\20251128兆豐訪談速報-神達(3706).pdf
482e52f26cf4,True,QUALIFIED_FAST,LOW,60,0.2285,9,2977,6933,,,eps;評等;營收,date_missing; broker_missing,6933_AMAX-KY_個股介紹報告.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\6933_AMAX-KY_個股介紹報告.pdf
9db99ee86da3,True,QUALIFIED_FAST,LOW,75,0.3069,57,384,2026,2025-12-01,華南,,keyword_missing,第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第一場 2026年投資大趨勢 - 華南投顧 -1141201.pdf
52973e6ac5e0,False,REVIEW_REQUIRED_FAST,MEDIUM,50,0.2775,25,112,2026,,華南,,date_missing; keyword_missing,第二場 2026海外投資展望 - 華南永昌海外商品部.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\第二場 2026海外投資展望 - 華南永昌海外商品部.pdf
b94683a9c9e6,True,QUALIFIED_FAST,LOW,100,0.6649,9,4096,3014,2023-10-05,國泰,eps;買進;目標價;評等;營收;每股盈餘;個股報告,,3014TT-20231005.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\3014TT-20231005.pdf
8578b17590da,True,QUALIFIED_FAST,LOW,100,0.3262,10,6165,3665,2026-05-19,凱基,eps;持有;目標價;評等;營收;獲利;每股盈餘,,凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\input\凱基投顧_3665 貿聯-KY_李承泰_20260519.pdf
