"Round","Category","Severity","RiskRank","FixMode","Target","Issue","Optimization","RecommendedAction","HydraRisk","CreatedAt"
"1","SOURCE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","VHB source folder not found or already deleted","If deletion already succeeded, rely on archive and VAP registry","KEEP_ARCHIVE_AND_POINTER","LOW","2026-06-09T05:43:29+08:00"
"1","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP target files scanned: 11943","Target exists and registry can be updated","KEEP","LOW","2026-06-09T05:43:29+08:00"
"1","INTEGRATION","INFO","4","PARALLEL","Mapping","Integration pass mappings: 25","No omission detected in mapping pass set","VERIFY_PASS","LOW","2026-06-09T05:43:29+08:00"
"1","DEDUPE","LOW","3","PARALLEL","SHA256","Already existed in VAP by SHA256: 25","Skipped duplicate copy to avoid repetition","SKIP_DUPLICATES_BY_HASH","LOW","2026-06-09T05:43:29+08:00"
"1","VERIFY","INFO","4","FINALIZE","Verification","All VHB files accounted for in VAP mapping","Safe to delete only after backup created","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T05:43:29+08:00"
"1","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Delete only after verify pass and backup","DELETE_GUARDED","LOW","2026-06-09T05:43:29+08:00"
"2","SOURCE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","VHB source folder not found or already deleted","If deletion already succeeded, rely on archive and VAP registry","KEEP_ARCHIVE_AND_POINTER","LOW","2026-06-09T05:43:40+08:00"
"2","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP target files scanned: 11943","Target exists and registry can be updated","KEEP","LOW","2026-06-09T05:43:40+08:00"
"2","INTEGRATION","INFO","4","PARALLEL","Mapping","Integration pass mappings: 25","No omission detected in mapping pass set","VERIFY_PASS","LOW","2026-06-09T05:43:40+08:00"
"2","DEDUPE","LOW","3","PARALLEL","SHA256","Already existed in VAP by SHA256: 25","Skipped duplicate copy to avoid repetition","SKIP_DUPLICATES_BY_HASH","LOW","2026-06-09T05:43:40+08:00"
"2","VERIFY","INFO","4","FINALIZE","Verification","All VHB files accounted for in VAP mapping","Safe to delete only after backup created","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T05:43:40+08:00"
"2","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Delete only after verify pass and backup","DELETE_GUARDED","LOW","2026-06-09T05:43:40+08:00"
"3","SOURCE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","VHB source folder not found or already deleted","If deletion already succeeded, rely on archive and VAP registry","KEEP_ARCHIVE_AND_POINTER","LOW","2026-06-09T05:43:50+08:00"
"3","TARGET","INFO","4","PARALLEL","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP","VAP target files scanned: 11943","Target exists and registry can be updated","KEEP","LOW","2026-06-09T05:43:51+08:00"
"3","INTEGRATION","INFO","4","PARALLEL","Mapping","Integration pass mappings: 25","No omission detected in mapping pass set","VERIFY_PASS","LOW","2026-06-09T05:43:51+08:00"
"3","DEDUPE","LOW","3","PARALLEL","SHA256","Already existed in VAP by SHA256: 25","Skipped duplicate copy to avoid repetition","SKIP_DUPLICATES_BY_HASH","LOW","2026-06-09T05:43:51+08:00"
"3","VERIFY","INFO","4","FINALIZE","Verification","All VHB files accounted for in VAP mapping","Safe to delete only after backup created","ALLOW_DELETE_AFTER_BACKUP","LOW","2026-06-09T05:43:51+08:00"
"3","DELETE","INFO","4","FINALIZE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VHB","Delete status: DELETED_AFTER_VERIFY_AND_BACKUP","Delete only after verify pass and backup","DELETE_GUARDED","LOW","2026-06-09T05:43:51+08:00"
