Subsystem,Extension,FileCount,TotalBytes
VIA,.html,20,18848745
VIA,.ico,16,891461
VIA,.json,90,5070707
VIA,.ps1,15,104536
VIA,.md,3,14197
VIA,.pdf,60,63406497
VIA,.docx,4,1014689
VIA,.csv,18,4446988
VIA,.py,41,1667780
VIA,.backup_20260609_040329,1,32695
VIA,.txt,8,3411
VIA,.js,2,18014
VIA,.log,4,10274
VIA,.svg,762,42589515
VIA,.png,4012,417150145
VIA,.jpg,251,19844704
VIA,.webp,37,2242074
VIA,.jpeg,8,1731804
VDF,.md,1,5606
VDF,.py,17,725492
VDF,.json,5,3000643
VDF,.html,1,46875
VDF,.csv,2,1880918
VDF,.parquet,2,408899
VDF,.duckdb,1,1585152
