"Time","Round","Scope","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-10 12:33:56","Round1","PANORAMA","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","ALLFLOW_MASTER","VDF_ALLFLOW_MASTER_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ALLFLOW_MASTER_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","CORE_TRIFLOW","VDF_ACTIVE_TRIFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_TRIFLOW_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","PENDING_TRIFLOW","VDF_PENDING_TRIFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_PENDING_TRIFLOW_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","REMAINING_MEGAFLOW","VDF_REMAINING_MEGAFLOW_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_REMAINING_MEGAFLOW_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","TWSE_SEAL","VDF_LATEST_TWSE_OFFICIAL_SEED_SEAL_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_TWSE_OFFICIAL_SEED_SEAL_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","TPEX_SEAL","VDF_LATEST_TPEX_SMALL_SCOPE_SEAL_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_TPEX_SMALL_SCOPE_SEAL_POINTER.json"
"2026-06-10 12:33:56","Round1","PANORAMA","MOPS_REVENUE_SEAL","VDF_LATEST_MOPS_MONTHLY_REVENUE_SEAL_POINTER.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_LATEST_MOPS_MONTHLY_REVENUE_SEAL_POINTER.json"
"2026-06-10 12:33:56","Round1","SSOT","EXTRACTION_PARAMS","VDF_Extraction_Params_SSOT.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_Params_SSOT.json"
"2026-06-10 12:33:56","Round1","SSOT","HEADER_REGISTRY","VDF_DataScope_HeaderRegistry_SSOT.json","OK","LOW","PARALLEL_SAFE","P0","NO_FETCH","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_SSOT.json"
