item,path,exists,kind,sha256,syntax_ok,function_count,class_count,import_count,error
Invoke-VDF.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1,True,file,dc72773b64f027cc8699199f3e315586afb2bf0deaf7d0b7b3430cf57a3a73fd,,0,0,0,
Invoke-VDF-Fetch.ps1,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1,True,file,c625da53435fbc27cde102f634d8bc9bf4bd22dea728e2b6499f0077305f7364,,0,0,0,
VDF_MDL000_README.md,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL000_README.md,True,file,26c50c22648e9adc3588473ff4119bfeb94ee8b8a9da9c8972a89934c6c44288,,0,0,0,
VDF_MDL001_TWEquityEngine.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWEquityEngine.py,True,file,f89f2a53f8a5e89b25eb2c701bd26d5d3d3fab88f2bb63e27d36c848e9c5fa16,True,84,8,27,
VDF_MDL001_TWUniverseVerify.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL001_TWUniverseVerify.py,True,file,67ef6fce465f43364ebbe4e43b41a54eabf9b3a78b7a20843dd18a92362f1231,True,14,3,18,
VDF_MDL002_YFinanceFetchingEngine.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL002_YFinanceFetchingEngine.py,True,file,e5dbb168e8ccce8dfce00cb6bbb485d9b30b72202b39e9f2e832392e27e7d676,True,40,5,23,
VDF_MDL003_SentimentMacroEngine.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL003_SentimentMacroEngine.py,True,file,cb9c413e7c1f6162fa12be99995170a340f661f9b7ba30f44493956b57a38d14,True,30,6,29,
VDF_MDL004_TWFullMarketEngine.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL004_TWFullMarketEngine.py,True,file,b5748ea4a58344d7223d4d6c815c6b5f5efdba4a97cfd81f83c95c0a972f0072,True,32,7,23,
VDF_MDL005_TWStockFilter.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL005_TWStockFilter.py,True,file,49861a44fcf1ef06f21c446f3d49534d8a3b0fa3ab841d6bf4665cdf0bcf2d29,True,26,6,24,
VDF_MDL006_FinancialModel.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL006_FinancialModel.py,True,file,3da0113e352dec5ce30176586b876c5c862e2564b209a2e3f900ccfd4974a1a5,True,32,6,22,
VDF_MDL007_SSOTResolver.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL007_SSOTResolver.py,True,file,af23fd2db2b9c0bbf8db1ed0655eb344be2698ed03203f7f114aee723ace158f,True,40,7,21,
VDF_MDL101_OutputManager.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL101_OutputManager.py,True,file,dd77e5ebc763decaeebda87d58051d84a4b32f4ea274656d181a5f1f09a948a9,True,5,1,12,
VDF_MDL102_FormatUpgrader.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL102_FormatUpgrader.py,True,file,5492d891e29378ae9e61fbbada205c948957797623fb4592b2897754bbddf0ab,True,7,1,14,
VDF_MDL103_MasterRegistry.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL103_MasterRegistry.py,True,file,0ca82c6c55d6dfde6c40032a7789e703a3cf5ca5efc5774a6f3adf220e74117e,True,8,1,18,
VDF_MDL104_RegistryLoader.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL104_RegistryLoader.py,True,file,5b61190fca8f77ea18683ac1303d5e5fdd572b740874cc162aeffebad3665239,True,14,1,18,
VDF_MDL105_CrossValidator.py,C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL105_CrossValidator.py,True,file,50edff072cde465cdc1ef06c33aa7c8dbd47e9817a95a543da48e031cd0ee0ce,True,11,1,17,
