"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path","Sha256"
"2026-06-09 04:00:16","Round0","UNIFIED_INPUT_SSOT","VIA_UnifiedInput_SSOT.json","OK","LOW","PARALLEL_SAFE","load","ok","Unified input SSOT loaded.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json","af00671291fc9037eb95115e313b91c594060d09f64ef6535329a7c996ff434e"
"2026-06-09 04:00:16","Round0","UNIFIED_INPUT_SSOT","freeze_status","OK","LOW","PARALLEL_SAFE","freeze_status","FREEZE_CANDIDATE","Freeze status found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json","af00671291fc9037eb95115e313b91c594060d09f64ef6535329a7c996ff434e"
"2026-06-09 04:00:16","Round1","PARAM_FIRST_GATEWAY","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","write","complete","Param-first gateway written. param block is first executable statement.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1","ddb3f2eb836a18c139ce31aea818971f384dc1d4d38948062b0071215b68f2ee"
"2026-06-09 04:00:16","Round1","PARAM_FIRST_GATEWAY_AST","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1","ddb3f2eb836a18c139ce31aea818971f384dc1d4d38948062b0071215b68f2ee"
"2026-06-09 04:00:16","Round2","CORE_READY","Read_Me_VeritasNexusCore.md","OK","LOW","PARALLEL_SAFE","exists_non_empty","11108","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","e17a9d1312f6b730094c4d868156681cf7b7d49c53fa1b2226ab5c859f6b79f2"
"2026-06-09 04:00:16","Round2","CORE_READY","Invoke-VeritasNexusCore.ps1","OK","LOW","PARALLEL_SAFE","exists_non_empty","2911","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","d8741599a121f33a31a57c372ba86aa328d74f1c9be5817aeb7682c1fffc267c"
"2026-06-09 04:00:16","Round2","CORE_READY","VDF Root","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF",""
"2026-06-09 04:00:16","Round2","CORE_READY","VRN SSOT Root","OK","LOW","PARALLEL_SAFE","directory","exists","Directory exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_ssot",""
"2026-06-09 04:00:16","Round2","REGISTRY_SSOT_READY","VDF_NexusCore_ModuleRegistry.json","OK","LOW","PARALLEL_SAFE","exists_non_empty","9870","File exists and is non-empty.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
"2026-06-09 04:00:16","Round2","REGISTRY_SSOT_READY","VDF_NexusCore_ModuleRegistry.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexus_registry\VDF_NexusCore_ModuleRegistry.json","47d9a19a11091517efc576d9dd113f7f4e1b463ca7d0ca57e35490707eeda4bf"
