"Time","Round","Stage","Name","Status","Risk","Metric","Value","Message","Path"
"2026-06-11T21:40:08.337+08:00","Round0","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","db_write","false","No production DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:40:08.338+08:00","Round0","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","source_repair","false","No VDF / VRN source repair.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:40:08.338+08:00","Round0","POLICY","No Extraction","OK_POLICY_LOCKED","LOW","extraction","false","No VRN extraction and no VDF canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008"
"2026-06-11T21:40:08.338+08:00","Round0","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","stop_process","false","Timeout records only. No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008"
"2026-06-11T21:40:08.408+08:00","Round0","ANCHOR","Latest v02874 Smoke","OK_VERIFIED","LOW","smoke","6","Six read-only lanes already smoke passed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T21:40:08.412+08:00","Round1","BACKUP","Daily Script Backup","OK_BACKED_UP","LOW","backup","true","Old daily script backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\backup"
"2026-06-11T21:40:08.414+08:00","Round1","BACKUP","Launcher Backup","OK_BACKED_UP","LOW","backup","true","Old launcher backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\backup"
"2026-06-11T21:40:08.420+08:00","Round1","SCRIPT","Daily Health Script","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Daily health script rewritten and parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:40:08.422+08:00","Round1","LAUNCHER","Manual Launcher","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Manual launcher rewritten and parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Start-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:40:08.984+08:00","Round2","SMOKE","Daily Health Smoke","WARN_SMOKE_NONZERO_EXIT","MEDIUM","exit","1","Daily health exited nonzero; review stderr.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008\runtime\daily_health_fast_smoke.stderr.txt"
"2026-06-11T21:40:09.190+08:00","Round2","SCHEDULER","Windows Task","SCHEDULED_TASK_CREATED","LOW","enabled","true","Registered by ScheduledTasks module.","VIA Dual Project Daily Health"
"2026-06-11T21:40:09.196+08:00","Round2","SHORTCUT","Desktop Shortcut","OK_CREATED","LOW","shortcut","true","Desktop shortcut refreshed.","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project Daily Health.lnk"
"2026-06-11T21:40:09.209+08:00","Round3","FINAL","Decision","DUAL_PROJECT_DAILY_HEALTH_READY_WITH_SCHEDULER_REVIEW","MEDIUM","hard_blocks","0","Final fast repair decision. Daily health is usable through manual launcher; review Windows Task warning separately.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_FAST_REPAIR_v028752_20260611_214008"
