"Time","Round","Lane","Stage","Name","Status","Risk","Metric","Value","Message","Path"
"2026-06-11T13:03:15.763+08:00","Round0","CONTROL","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","db_write","false","No production database write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T13:03:15.763+08:00","Round0","CONTROL","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","source_repair","false","No source file modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T13:03:15.764+08:00","Round0","CONTROL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","stop_process","false","No process is killed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315"
"2026-06-11T13:03:15.771+08:00","Round1","POINTER","ACTIVE","Active Pointer","OK_VERIFIED","LOW","status","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","Active pointer is final promoted.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-11T13:03:15.777+08:00","Round1","POINTER","FREEZE","Frozen Pointer","OK_VERIFIED","LOW","status","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","Frozen pointer is final promoted.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_FINAL_ACTIVATION_SEAL_POINTER_v02868.json"
"2026-06-11T13:03:15.780+08:00","Round1","POINTER","CONSISTENCY","Active/Frozen Source Runtime","OK_MATCHED","LOW","matched","true","Active and frozen pointer source runtime match.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_Runtime_v02867.json"
"2026-06-11T13:03:15.782+08:00","Round2","SEAL","HEALTH","Final Source Seal","OK_VERIFIED","LOW","seal","clean","Source seal remains clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_LONGRUN_SEAL_v02867_20260611_123639\runtime\VIA_FinalLongRunSeal_Runtime_v02867.json"
"2026-06-11T13:03:15.788+08:00","Round2","LONGRUN","PID","LongRun PID","OK_PID_ALIVE","LOW","alive","true","Long-running service PID is alive.","20920"
"2026-06-11T13:03:15.792+08:00","Round2","LAUNCHER","CREATE","Start-VIA.ps1","OK_CREATED","LOW","launcher","created","Launcher script created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_FinalConsole\Start-VIA.ps1"
"2026-06-11T13:03:15.852+08:00","Round2","LAUNCHER","SHORTCUT","Desktop Shortcut","OK_CREATED","LOW","shortcut","created","Desktop shortcut created.","C:\Users\tonyk\OneDrive\Desktop\VIA Final Active Console.lnk"
"2026-06-11T13:03:15.871+08:00","Round3","FINAL","DECISION","Daily Health Launcher Console","DAILY_HEALTH_LAUNCHER_READY","LOW","blockers","0","Daily health and launcher decision created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_LAUNCHER_CONSOLE_v02870_20260611_130315"
