"Time","Round","Stage","Name","Status","Risk","Metric","Value","Message","Path"
"2026-06-11T22:55:35.158+08:00","Round0","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","db_write","false","No production DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T22:55:35.158+08:00","Round0","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","source_repair","false","No VDF / VRN source repair.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T22:55:35.159+08:00","Round0","POLICY","No Extraction","OK_POLICY_LOCKED","LOW","extraction","false","No VRN extraction and no VDF canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535"
"2026-06-11T22:55:35.160+08:00","Round0","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535"
"2026-06-11T22:55:35.243+08:00","Round0","DIAG","Previous STDERR","OK_CAPTURED","LOW","bytes","711","Previous stderr captured.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\previous_v028753_stderr.txt"
"2026-06-11T22:55:35.249+08:00","Round1","BACKUP","Daily Script Backup","OK_BACKED_UP","LOW","backup","true","Daily script backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\backup"
"2026-06-11T22:55:35.255+08:00","Round1","BACKUP","Manual Launcher Backup","OK_BACKED_UP","LOW","backup","true","Manual launcher backed up.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\backup"
"2026-06-11T22:55:35.259+08:00","Round1","SCRIPT","Non-Throwing Daily Health","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Daily health script rewritten as non-throwing monitor.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T22:55:35.262+08:00","Round1","LAUNCHER","Manual Launcher","PATCHED_PARSE_CLEAN","LOW","parse_fail","0","Manual launcher parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Start-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T22:55:36.364+08:00","Round2","SMOKE","Non-Throwing Daily Health","OK_SMOKE_EXIT_0","LOW","exit","0","Daily health monitor smoke passed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T22:55:36.776+08:00","Round2","SCHEDULER","Windows Task","OK_VERIFIED","LOW","state","Ready","Scheduled task exists and remains available.","VIA Dual Project Daily Health"
"2026-06-11T22:55:36.784+08:00","Round2","SHORTCUT","Desktop Shortcut","OK_CREATED","LOW","shortcut","true","Desktop shortcut refreshed.","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project Daily Health.lnk"
"2026-06-11T22:55:36.797+08:00","Round3","FINAL","Decision","DUAL_PROJECT_DAILY_HEALTH_READY","LOW","hard_blocks","0","Non-throwing monitor final decision.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535"
