"Time","Round","Lane","Stage","Name","Status","Risk","FixClass","Priority","Metric","Value","Message","Path"
"2026-06-11T21:32:09.316+08:00","Round0","CONTROL","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","db_write","false","Daily health is read-only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T21:32:09.317+08:00","Round0","CONTROL","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","source_repair","false","No source file modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T21:32:09.318+08:00","Round0","CONTROL","POLICY","No Extraction","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","extraction","false","VRN extraction and VDF DB write remain locked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209"
"2026-06-11T21:32:09.319+08:00","Round0","CONTROL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209"
"2026-06-11T21:32:09.417+08:00","Round0","ANCHOR","SMOKE_RUNTIME","Latest v02874 Runtime","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","status","READONLY_LANE_SMOKE_READY","Read-only lane smoke is ready.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T21:32:09.426+08:00","Round1","DAILY_HEALTH","SCRIPT","Daily Health Script","OK_CREATED","LOW","PARALLEL_SAFE","P0","parse_fail","0","Daily health script created and parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Invoke-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:32:09.429+08:00","Round1","DAILY_HEALTH","LAUNCHER","Manual Launcher","OK_CREATED","LOW","PARALLEL_SAFE","P0","parse_fail","0","Manual launcher created and parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_DualProjectDailyHealth\Start-VIA-DualProjectDailyHealth.ps1"
"2026-06-11T21:32:10.267+08:00","Round2","SMOKE","DAILY_HEALTH","Immediate Smoke","WARN_SMOKE_NONZERO_EXIT","MEDIUM","SEQUENTIAL_REQUIRED","P1","exit","1","Daily health script exited nonzero; review stderr.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209\runtime\daily_health_smoke.stderr.txt"
"2026-06-11T21:32:11.780+08:00","Round2","SCHEDULER","WINDOWS_TASK","Scheduled Task","WARN_TASK_REGISTER_FAILED","MEDIUM","SEQUENTIAL_REQUIRED","P1","task","failed","Cannot process argument transformation on parameter 'RunLevel'. Cannot convert value ""LeastPrivilege"" to type ""Microsoft.PowerShell.Cmdletization.GeneratedTypes.ScheduledTask.RunLevelEnum"". Error: ""Unable to match the identifier name LeastPrivilege to a valid enumerator name. Specify one of the following enumerator names and try again:
Limited, Highest""","VIA Dual Project Daily Health"
"2026-06-11T21:32:11.798+08:00","Round2","LAUNCHER","SHORTCUT","Desktop Shortcut","OK_CREATED","LOW","PARALLEL_SAFE","P0","shortcut","true","Desktop shortcut created.","C:\Users\tonyk\OneDrive\Desktop\VIA Dual Project Daily Health.lnk"
"2026-06-11T21:32:11.826+08:00","Round3","FINAL","DECISION","Dual Project Daily Health Scheduler","DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_READY_WITH_REVIEW","MEDIUM","SEQUENTIAL_GATED","P0","hard_blocks","0","Final scheduler decision created. Next: Review scheduler warning, then proceed to final operations seal.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209"
"2026-06-11T21:32:11.895+08:00","Round3","REPORT","HTML","HTML U/I Matrix Report","OK_CREATED","LOW","PARALLEL_SAFE","P0","html","created","HTML matrix report created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_DAILY_HEALTH_SCHEDULER_v02875_20260611_213209\report\VIA_DualProjectDailyHealthScheduler_Report_v02875.html"
