"Time","Round","Project","Lane","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T16:25:18.729+08:00","Round0","VIA","ALL","POLICY","No Canonical","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","No canonical promotion in this gate.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518"
"2026-06-15T16:25:18.731+08:00","Round0","VIA","ALL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518"
"2026-06-15T16:25:18.732+08:00","Round0","VIA","ALL","POLICY","No Full VDF Rerun","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","vdf_full_rerun","false","VDF lane only audits and plans finish; no blind rerun.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518"
"2026-06-15T16:25:18.732+08:00","Round0","VIA","ALL","POLICY","Six Concurrent Lanes","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","lanes","6","VDF three lanes + VRN three lanes.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518"
"2026-06-15T16:25:20.704+08:00","Round1","VIA","ALL","ENGINE","Python Stack","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","deps","pandas/pyarrow/duckdb","Python stack verified.","C:\Python313\python.exe"
"2026-06-15T16:25:20.718+08:00","Round1","VIA","ALL","ENGINE","Six-Lane Worker Engine","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Lane worker written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\work\via_dual_sixlane_worker_v029dual1b.py"
"2026-06-15T16:25:21.036+08:00","Round1","VIA","VDF1_RUNTIME","START","VDF1_RUNTIME","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
"2026-06-15T16:25:21.038+08:00","Round1","VIA","VDF2_DATA","START","VDF2_DATA","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
"2026-06-15T16:25:21.039+08:00","Round1","VIA","VDF3_GAP_PLAN","START","VDF3_GAP_PLAN","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
"2026-06-15T16:25:21.040+08:00","Round1","VIA","VRN1_TABLE_GEOMETRY","START","VRN1_TABLE_GEOMETRY","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
"2026-06-15T16:25:21.041+08:00","Round1","VIA","VRN2_VALIDATION","START","VRN2_VALIDATION","OK_CREATED","LOW","PARALLEL_SAFE","P0","job","started","Concurrent lane started.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUALPROJECT_SIXLANE_CONCURRENT_GATE_v029DUAL1B_20260615_162518\lanes"
