"Time","Round","Lane","Stage","Name","Status","Risk","FixClass","Priority","Metric","Value","Message","Path"
"2026-06-11T23:07:23.580+08:00","Round0","CONTROL","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","db_write","false","Final seal only. No production DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T23:07:23.580+08:00","Round0","CONTROL","POLICY","No Source Repair","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","source_repair","false","No VDF / VRN source file modification.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T23:07:23.581+08:00","Round0","CONTROL","POLICY","No Extraction","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","extraction","false","No VRN extraction and no VDF canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723"
"2026-06-11T23:07:23.582+08:00","Round0","CONTROL","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","stop_process","false","No process kill.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723"
"2026-06-11T23:07:23.586+08:00","Round0","VDF","POINTER","Active Pointer","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","status","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","Active pointer is final promoted lock.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
"2026-06-11T23:07:23.586+08:00","Round0","VDF","POINTER","Frozen Pointer","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","status","FINAL_PROMOTED_ACTIVE_POINTER_LOCKED","Frozen pointer is final promoted lock.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_FINAL_ACTIVATION_SEAL_POINTER_v02868.json"
"2026-06-11T23:07:23.914+08:00","Round1","RUNTIME","LOCATE","ACTIVE_PATH_FILTER","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","v028712","Runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_Runtime_v028712.json"
"2026-06-11T23:07:23.916+08:00","Round1","RUNTIME","LOCATE","DUAL_PROJECT_GATE","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","v02872","Runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_Runtime_v02872.json"
"2026-06-11T23:07:23.916+08:00","Round1","RUNTIME","LOCATE","USER_TEST_CONSOLE","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","v028731","Runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsoleHotfix_Runtime_v028731.json"
"2026-06-11T23:07:23.917+08:00","Round1","RUNTIME","LOCATE","READONLY_LANE_SMOKE","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","v02874","Runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T23:07:23.918+08:00","Round1","RUNTIME","LOCATE","DAILY_HEALTH_MONITOR","OK_FOUND","LOW","PARALLEL_SAFE","P0","runtime","v028754","Runtime found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json"
"2026-06-11T23:07:23.924+08:00","Round1","ACTIVE_PATH","VERIFY","Active Dependency Path","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","active_blocks","0","Active dependency path clean; historical findings quarantined: 230.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_ACTIVE_PATH_DEPENDENCY_FILTER_v028712_20260611_203308\runtime\VIA_ActivePathDependencyFilter_Runtime_v028712.json"
"2026-06-11T23:07:23.924+08:00","Round1","DUAL_PROJECT","VERIFY","Safe Parallel Gate","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","safe_lanes","6","VDF / VRN six safe lanes verified.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\runtime\VIA_DualProjectSafeParallelGate_Runtime_v02872.json"
"2026-06-11T23:07:23.929+08:00","Round1","USER_TEST","VERIFY","User-Test Console","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","commands","6","User-test console ready and parse clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_USERTEST_CONSOLE_HOTFIX_v028731_20260611_210904\runtime\VIA_DualProjectUserTestConsoleHotfix_Runtime_v028731.json"
"2026-06-11T23:07:23.930+08:00","Round1","SMOKE","VERIFY","Six Read-Only Lane Smoke","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","smoke_ok","6","All six read-only lanes exited 0.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_READONLY_LANE_EXECUTION_SMOKE_TEST_v02874_20260611_211312\runtime\VIA_ReadOnlyLaneSmoke_Runtime_v02874.json"
"2026-06-11T23:07:23.933+08:00","Round2","DAILY_HEALTH","VERIFY","Daily Health Monitor","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","task_state","Ready","Daily health monitor smoke passed and task is enabled.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DAILY_HEALTH_NONTHROWING_MONITOR_v028754_20260611_225535\runtime\VIA_DailyHealthNonThrowingMonitor_Runtime_v028754.json"
"2026-06-11T23:07:24.363+08:00","Round2","SCHEDULER","VERIFY","Windows Task Scheduler","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","state","Ready","Windows scheduled task exists and is enabled.","VIA Dual Project Daily Health"
"2026-06-11T23:07:24.383+08:00","Round2","ARTIFACTS","VERIFY","Required Artifacts","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","missing","0","All required sealed artifacts exist.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723"
"2026-06-11T23:07:24.396+08:00","Round3","FINAL","DECISION","Final Operations Seal","VIA_DUAL_PROJECT_OPERATIONS_SEALED_READY","LOW","SEQUENTIAL_GATED","P0","hard_blocks","0","Final operations seal decision created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_FINAL_OPERATIONS_SEAL_v02876_20260611_230723"
