"path","bytes","has_doctype","has_charset","has_viewport","has_table","has_grid","has_animation","has_veritas","title"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\DecisionStudio_Registry.html","971501","True","True","True","False","True","True","True","VeritasDecisionStudio — Function &amp; Tool Registry"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\VDF_MDL501_DataModuleController.html","46875","True","True","True","True","True","True","True","VIA · Data Module Controller v2.0 · Full Ecosystem"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIS_Supportive_Module_Index.html","1934207","True","True","False","True","True","False","True","VIS · Supportive Module Index"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_DataScope_HeaderRegistry_Matrix.html","19603","True","True","False","True","True","False","True","VDF Data Scope Header Registry"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_Extraction_FieldMatrix.html","11707","True","True","False","True","True","False","True","VDF Extraction Params SSOT"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_ssot\VDF_OutputDatabase_DataScope_Matrix.html","13959","True","True","False","True","True","False","True","VDF Supportive Tools + Data Scope Matrix"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Gallery_Cockpit.html","1060222","True","True","True","False","True","False","True","VAP · Gallery Cockpit Visual Fix"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\COCKPIT\VAP_Master_Cockpit.html","43372","True","True","True","True","True","True","True","VAP · Master Cockpit"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATE_WORKBENCH\VIA_VAP_Template_Workbench_Fullscreen_HMI_AutoLayoutEditor.html","5549925","True","True","True","False","True","True","True","VIA/VAP · Fullscreen HMI Auto Layout Editor"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATE_WORKBENCH\VIA_VAP_Template_Workbench_HumanInteractiveEditor.html","5545240","True","True","True","False","True","False","True","VIA/VAP · Human Interactive Template Editor"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATE_WORKBENCH\VIA_VAP_Template_Workbench_VisualEditor.html","5527477","True","True","True","True","True","False","True","VIA/VAP · HTML Template Workbench · Visual Editor"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATE_WORKBENCH\VIA_VAP_Template_Workbench_VisualEditor_PLUS.html","5530349","True","True","True","False","True","False","True","VIA/VAP · Template Workbench Visual Editor Plus"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\TEMPLATE_WORKBENCH\VIA_VAP_Template_Workbench_VisualLayoutEditor.html","5539147","True","True","True","False","True","False","True","VIA/VAP · Visual Layout Editor"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_freeze_reports\FREEZE_REPORT_RECOVERY_20260608_201541\VeritasNexusCore_FREEZE_Report_v03.html","37060","True","True","False","True","True","False","True","VeritasNexusCore FREEZE Report Recovery v03"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_PROGRESS.html","7188","True","True","True","False","True","True","False","NexusCore Accelerator Progress"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161032\NEXUSCORE_TOOL_MATRIX.html","5110","True","True","False","True","False","False","True","NexusCore Tool Matrix"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_PROGRESS.html","7188","True","True","True","False","True","True","False","NexusCore Accelerator Progress"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_ai_onboarding\RUN_20260610_161210\NEXUSCORE_TOOL_MATRIX.html","5110","True","True","False","True","False","False","True","NexusCore Tool Matrix"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_bridge_status_normalizer\RUN_20260610_202257\BRIDGE_STATUS_NORMALIZED.html","4334","True","True","False","True","False","False","True","Bridge Status Normalized"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_bridge_status_normalizer\RUN_20260610_202302\BRIDGE_STATUS_NORMALIZED.html","4334","True","True","False","True","False","False","True","Bridge Status Normalized"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202258\CELERITAS_SAFE_ADAPTER_REPORT.html","3403","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202259\CELERITAS_SAFE_ADAPTER_REPORT.html","3402","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202300\CELERITAS_SAFE_ADAPTER_REPORT.html","3410","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202301\CELERITAS_SAFE_ADAPTER_REPORT.html","3406","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202302\CELERITAS_SAFE_ADAPTER_REPORT.html","3403","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_celeritas_safe_adapter\RUN_20260610_202303\CELERITAS_SAFE_ADAPTER_REPORT.html","3402","True","True","False","True","False","False","True","Celeritas Safe Adapter Report"
