"Time","Round","Project","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-17 01:35:03","Round0","GLOBAL","POLICY","Safety Policy","OK_LOCKED","LOW","SEQUENTIAL_GATED","P0","policy","append-only","No DB write, no canonical merge, no destructive delete, no stop-process.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tools\VIA_MultiProject_PanoramaSync"
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Run Isolation","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A01","enabled","Run folders are append-only and isolated.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Remaining Flow Counter","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A02","enabled","Every step updates completed/remaining/percent.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Dynamic Progress","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A03","enabled","Write-Progress shows project, round, phase and percent.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","AST Before Invoke","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A04","enabled","PS files are parse-checked before any child invocation.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Sandbox Copy","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A05","enabled","Only scripts/docs/configs are copied to sandbox.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Hydra Gate","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A06","enabled","Parallel-safe and sequential-required issues are split.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Timeout Guard","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A07","enabled","Child processes cannot block the parent forever.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","History Lens","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A08","enabled","Prior RUN folders and reports are indexed.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","Library Matrix","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A09","enabled","Top10 per flow/language + Top20 process-mining stack.",""
"2026-06-17 01:35:03","Round0","GLOBAL","ACCELERATOR","HTML Matrix UI","OK_ENABLED","LOW","PARALLEL_SAFE","P1","A10","enabled","All results are exported to HTML/CSV/JSON.",""
"2026-06-17 01:35:03","Round1","GLOBAL","SUPPORTIVE_FILE","Read_Me_VeritasNexusCore.md","OK_FOUND","LOW","PARALLEL_SAFE","P0","sha256","E17A9D1312F6B730094C4D868156681CF7B7D49C53FA1B2226AB5C859F6B79F2","Required supportive file found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md"
"2026-06-17 01:35:03","Round1","GLOBAL","SUPPORTIVE_FILE","Invoke-VeritasNexusCore.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","sha256","F00501761EF6E594C461C35979997B4BF735A8A54079BECFA698D23AC3C353C8","Required supportive file found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-17 01:35:03","Round1","GLOBAL","SUPPORTIVE_FILE","Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","OK_FOUND","LOW","PARALLEL_SAFE","P0","sha256","265CEF36C198313AF041D258BC0BC9BC8D58E7D97B7A407409CE04E1296B73A3","Required supportive file found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1"
"2026-06-17 01:35:03","Round1","SUPPORTIVE","PATH","ProjectPath","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","True","Project folder exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules"
"2026-06-17 01:35:03","Round1","SUPPORTIVE","INVENTORY","LightSourceInventory","OK_SCANNED","LOW","PARALLEL_SAFE","P1","files/ps/py/json/html/md","285/14/38/125/66/4","Low-memory source inventory completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules"
"2026-06-17 01:35:04","FATAL","GLOBAL","RUNTIME","Unhandled Exception","FAIL_FATAL","HIGH","SEQUENTIAL_REQUIRED","P0","error","The term 'if' is not recognized as a name of a cmdlet, function, script file, or executable program.
Check the spelling of the name, or if a path was included, verify that the path is correct and try again.","Unhandled exception; exporting partial report.",""
