"Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","VIA","CONTROL_PLANE","BOOT","ProjectRoot","OK","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write_enabled","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge_enabled","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333"
"Round0","VIA","CONTROL_PLANE","POLICY","No Generated Script Execution","OK_POLICY_LOCKED","LOW","SEQUENTIAL_REQUIRED","P0","ANALYZE_REPAIR_ONLY","execute_generated_script","false","Generated write script is reviewed/repaired only, not executed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333"
"Round0","VIA","CONTROL_PLANE","NEXUSCORE","Invoke-VeritasNexusCore.ps1","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CONTROL_PLANE_ONLY","exists","true","Supportive modules will be routed through NexusCore.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"Round0","VIA","CONTROL_PLANE","INVENTORY","Repo File Inventory","OK_CREATED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","files","19723","Full repo file inventory created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_FileInventory_v02851.csv"
"Round0","VIA","TOOLING","BOOTSTRAP","Tool Availability","OK_CREATED","LOW","PARALLEL_SAFE","P1","ANALYZE_ONLY","tools","11","Tool availability matrix generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_ToolAvailability_v02851.csv"
"Round0","VIA","TOOLING","INSTALL_PLAN","Guarded Tool Installer","WARN_PLAN_ONLY","MEDIUM","SEQUENTIAL_GATED","P1","PLAN_ONLY","install_executed_now","false","Generated guarded install plan only; no install executed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\VIA_ToolBundle_InstallPlan_GUARDED_NOT_RUN_v02851.json"
"Round1","VIA","PARALLEL_SAFE","AST_AUDIT","PowerShell AST Audit","WARN_PARSE_ERRORS_FOUND","MEDIUM","SEQUENTIAL_REQUIRED","P0","ANALYZE_ONLY","parse_fail_files","1","Some PowerShell files have parse errors; repair sequentially.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_PowerShellAstAudit_v02851.csv"
"Round1","VIA","PARALLEL_SAFE","HTML_AUDIT","HTML UI Report Audit","OK_CREATED","LOW","PARALLEL_SAFE","P1","ANALYZE_ONLY","html_files","476","HTML file audit matrix generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_HtmlAudit_v02851.csv"
"Round1","VIA","PARALLEL_SAFE","PYTHON_INVENTORY","Python File Inventory","OK_CREATED","LOW","PARALLEL_SAFE","P1","ANALYZE_ONLY","py_files","64","Python inventory generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\registry\VIA_Panorama_PythonInventory_v02851.csv"
