"path","parse_error_count","command_count","commands","parse_errors"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\30_HardGate_Governance\VIA_Supportive_HardGate_Seal.ps1","0","0","",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1","0","6","ConvertFrom-Json;Format-List;Get-Content;Invoke-VDF-Fetch;Join-Path;Start-Process",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF.ps1","0","6","ConvertFrom-Json;Format-List;Get-Content;Invoke-VDF;Join-Path;Start-Process",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-SupportiveHardGate.ps1","0","7","Get-Date;Join-Path;New-Item;Out-Null;Start-Process;Test-Path;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-PanoramaHardGateSafeFix.ps1","0","14","ConvertTo-Json;ForEach-Object;Get-ChildItem;Get-Content;Get-Date;Join-Path;New-Item;New-Object;Out-Null;Set-Content;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-Guarded-Entry-v217.ps1","0","6","def_OpenPath;Join-Path;Set-StrictMode;Start-Process;Test-Path;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-FinishProject-SafeFast.ps1","0","14","ConvertTo-Json;ForEach-Object;Get-ChildItem;Get-Content;Get-Date;Join-Path;New-Item;New-Object;Out-Null;Set-Content;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","0","33","Add-Content;ConvertTo-Html;ConvertTo-Json;def_Action_AccelerationPlan;def_Action_BuildRegistry;def_Action_DownloadOnly;def_Action_EnvPlan;def_Action_HardGate;def_Action_Install;def_Action_Matrix;def_Action_ScanOnly;def_Action_Validate;def_EnsureDir;def_EnsureOutputDirs;def_Main;def_ResolvePython;def_WriteHtmlTable;def_WriteLine;Export-Csv;ForEach-Object;Get-ChildItem;Get-Command;Get-Date;Join-Path;New-Item;Out-Null;Out-String;Set-StrictMode;Sort-Object;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VIA-ALL.ps1","0","27","Add-StageResult;ConvertFrom-Json;ConvertTo-Json;Copy-Item;Get-ChildItem;Get-Content;Get-Date;Get-FileHash;Group-Object;Invoke-Main;Invoke-VIAScript;Join-Path;Out-Null;pwsh;Read-Host;Remove-Item;Select-Object;Set-Content;Sort-Object;Start-Process;Start-Sleep;Start-VIAKeepAlive;Test-Path;Wait-VAnyKey;Write-Host;Write-VHeader;Write-VStatus",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-MQ-NoOCR-Staging-v222.ps1","0","4","Join-Path;Set-StrictMode;Test-Path;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_ONECLICK_v02853_20260611_110956\plan\Invoke-VIA-NexusCore-EnvBootstrap-GUARDED-NOT-RUN-v02853.ps1","0","3","Join-Path;Set-StrictMode;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_hydra_three_rounds\RUN_20260610_202238\_adapters\Invoke-NexusCore-BridgeStatusNormalizer.ps1","0","15","ConvertFrom-Json;ConvertTo-Html;ConvertTo-Json;Get-ChildItem;Get-Content;Get-Date;Join-Path;New-Item;Out-Null;Select-Object;Set-Content;Set-StrictMode;Sort-Object;Start-Process;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\60_PowerShell_Entry_Internal\Invoke-VRN-PURE-NOHANG-v2192.ps1","0","6","def_OpenPath;Join-Path;Set-StrictMode;Start-Process;Test-Path;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_hydra_three_rounds\RUN_20260610_202238\_adapters\Invoke-NexusCore-CeleritasSafeAdapter.ps1","0","19","ConvertTo-Html;ConvertTo-Json;def_EnsureDir;def_InvokeProcessWithTimeout;def_Main;def_ResolvePython;def_WriteHtml;Get-Command;Get-Date;Join-Path;New-Item;New-Object;Out-Null;Set-Content;Set-StrictMode;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge_patch\RUN_20260610_201459\_bridge\Invoke-NexusCore-ExternalBridge.ps1","0","30","Add-Content;ConvertFrom-Json;ConvertTo-Html;ConvertTo-Json;def_EnsureDir;def_EnsureOutputDirs;def_GetPythonAstSummary;def_InvokeProcessWithTimeout;def_Main;def_ProbeHelp;def_ProbeTool;def_ResolvePython;def_RunProbeAll;def_WriteHtmlTable;def_WriteLine;Export-Csv;Get-Command;Get-Date;Get-Item;Join-Path;New-Item;New-Object;Out-Null;Select-Object;Set-Content;Set-StrictMode;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\_nexuscore_external_bridge_patch\RUN_20260610_201618\_bridge\Invoke-NexusCore-ExternalBridge.ps1","0","30","Add-Content;ConvertFrom-Json;ConvertTo-Html;ConvertTo-Json;def_EnsureDir;def_EnsureOutputDirs;def_GetPythonAstSummary;def_InvokeProcessWithTimeout;def_Main;def_ProbeHelp;def_ProbeTool;def_ResolvePython;def_RunProbeAll;def_WriteHtmlTable;def_WriteLine;Export-Csv;Get-Command;Get-Date;Get-Item;Join-Path;New-Item;New-Object;Out-Null;Select-Object;Set-Content;Set-StrictMode;Start-Process;Test-Path;Where-Object;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","2","8","def_Mkdir;def_Stamp;Get-Date;Join-Path;Out-Null;param;Set-StrictMode;Write-Host","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\plan\Invoke-VIA-ToolBundle-Install-GUARDED-NOT-RUN-v02851.ps1","0","3","param;Set-StrictMode;Write-Host",""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\backup\Original_Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1","2","8","def_Mkdir;def_Stamp;Get-Date;Join-Path;Out-Null;param;Set-StrictMode;Write-Host","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_PANORAMA3ROUND_VDF_VRN_SCRIPT_REPAIR_v02851_20260611_104333\repair\Invoke-VDF-AkShare-StagingWrite-REPAIRED-NOT-RUN-v02851.ps1","2","8","def_Mkdir;def_Stamp;Get-Date;Join-Path;Out-Null;param;Set-StrictMode;Write-Host","L22:28 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | L23:30 The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property."
