"def_item","def_status","def_value"
"previous_run_dir","OK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_final_parameters_one_interface\output\RUN_20260619_134531_VIA_FINAL_PARAMETERS_ONE_INTERFACE_v0102"
"summary_json","OK","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_vdf_final_parameters_one_interface\output\RUN_20260619_134531_VIA_FINAL_PARAMETERS_ONE_INTERFACE_v0102\VIA_FinalParameters_OneInterface_Summary.json"
"status","OK","VIA_FINAL_PARAMETERS_ONE_INTERFACE_READY"
"parameters","OK","77201"
"canonical","OK","34696"
"canonical_accept","OK","30142"
"canonical_review","OK","3084"
"p0_review","REVIEW","835"
"p1_path","REVIEW","735"
"engines","OK","201"
