"Time","Round","Project","Lane","Stage","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"2026-06-11T11:39:44.647+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No DB Write","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","db_write_enabled","false","This run never writes DATABASE.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"2026-06-11T11:39:44.656+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","canonical_merge_enabled","false","This run never canonical-merges.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944"
"2026-06-11T11:39:44.657+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Delete","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","delete_enabled","false","This run never deletes originals.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944"
"2026-06-11T11:39:44.658+08:00","Round0","VIA","CONTROL_PLANE","POLICY","No Stop-Process","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ANALYZE_ONLY","stop_process_enabled","false","This run never stops processes.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_TEST_DEBUG_VDF_VRN_v02863_20260611_113944"
"2026-06-11T11:39:44.940+08:00","Round0","VIA","SELF_TEST","AST","Self Parse Test","OK_PARSE","LOW","PARALLEL_SAFE","P0","TEST_ONLY","parse_errors","0","This engine parses cleanly before execution.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1"
"2026-06-11T11:39:44.949+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","ProjectRoot","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"2026-06-11T11:39:44.951+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","SupportiveRoot","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules"
"2026-06-11T11:39:44.954+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","NexusCore","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1"
"2026-06-11T11:39:44.955+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","VDF","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF"
"2026-06-11T11:39:44.956+08:00","Round0","VIA","CONTROL_PLANE","ANCHOR","VRN","OK_FOUND","LOW","SEQUENTIAL_GATED","P0","CHECK_ONLY","exists","True","Anchor checked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN"
