"signal","path","extension","risk_class","risk","action"
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md",".md","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md",".md","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_ONCE_POINTER.json",".json","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Invoke-Expression","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-SupportiveDocking-VDFVRN-v02861.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"canonical","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Remove-Item","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Invoke-Expression","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_oneclick\Invoke-VIA-TestDebug-VDFVRN-v02863.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VAP\Invoke-VAP.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
"DATABASE","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1",".ps1","TEXT_ONLY_SIGNAL","LOW","Do not block unless AST confirms executable command or write boundary is enabled."
"Stop-Process","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\Invoke-VDF-Fetch.ps1",".ps1","NEEDS_AST_CONFIRMATION","MEDIUM","Do not block unless AST confirms executable command or write boundary is enabled."
