"Time","Round","Layer","Name","Status","Risk","FixClass","Metric","Value","Message","Path"
"2026-06-09 17:52:21","Round0","ACTIVE_STATE","VIA_UnifiedInput_SSOT.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\VIA_UnifiedInput_SSOT.json"
"2026-06-09 17:52:21","Round0","ACTIVE_STATE","VIA_ACTIVE_POINTER.json","OK","LOW","PARALLEL_SAFE","json_parse","ok","JSON parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_active\VIA_ACTIVE_POINTER.json"
"2026-06-09 17:52:21","Round0","DICT_OUTPUT_ROOT","VDF","OK","LOW","PARALLEL_SAFE","directory","ready","Database output directory ready.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"2026-06-09 17:52:21","Round0","DICT_OUTPUT_ROOT","VRN","OK","LOW","PARALLEL_SAFE","directory","ready","Database output directory ready.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN"
"2026-06-09 17:52:21","Round0","ACTIVE_GATEWAY","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","latest_v05_gateway","found","Latest valid v05 Param-First gateway found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
"2026-06-09 17:52:21","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Hardened.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V02_GATEWAY_HOTFIX_20260609_035258\gateway\Invoke-VIA-ActivationGateway-Hardened.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-Stable.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V03_STABLE_HOTFIX_20260609_035508\gateway\Invoke-VIA-ActivationGateway-Stable.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-InlineReady.ps1","OK","LOW","DEPRECATED_HISTORICAL_IGNORE","ast_parse","ignored","Deprecated historical gateway. Not a production blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V04_INLINE_READY_20260609_035734\gateway\Invoke-VIA-ActivationGateway-InlineReady.ps1"
"2026-06-09 17:52:31","Round1","POWERSHELL_AST","Invoke-VIA-ActivationGateway-ParamFirst.ps1","OK","LOW","PARALLEL_SAFE","ast_parse","ok","PowerShell AST parse OK.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_activation\VIA_ACTIVATION_GATEWAY_V05_PARAM_FIRST_FINAL_20260609_040014\gateway\Invoke-VIA-ActivationGateway-ParamFirst.ps1"
