"def_priority","def_accept_status","def_user_accept","def_suggested_action","def_recommendation","def_risk","def_alias","def_path_value","def_status","def_selected_alias_value","def_suggested_alias_value","def_reject_reason","def_suggestion_note","def_scope","def_mutate_existing_source"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED","LOW","FUNCTIONAL_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","ACCEPT_CANONICAL_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","DEFER_OR_REJECT","DEFER_OR_REJECT_UNLESS_NEEDED","MEDIUM_HIGH","PYTHON_ENV_ONEDRIVE","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","ENV_REVIEW","","","","Legacy/OneDrive root should not be canonical unless still required.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED","LOW","SUPPORTIVE_MODULES_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","ACCEPT_CANONICAL_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_AS_REFERENCE_ONLY","ACCEPT_RECOMMENDED_AFTER_PATH_VISIBLE","LOW_MEDIUM","USER_DOWNLOADS","C:\Users\tonyk\Downloads","REFERENCE_ONLY","","C:\Users\tonyk\Downloads","","Reference root only; avoid using as canonical module root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED","LOW","VDF_DIR_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","ACCEPT_CANONICAL_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED","LOW","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","ACCEPT_CANONICAL_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED_AFTER_PATH_VISIBLE","LOW_MEDIUM","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","REVIEW_ALIAS","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED_AFTER_PATH_VISIBLE","LOW_MEDIUM","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","REVIEW_ALIAS","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED_AFTER_PATH_VISIBLE","LOW_MEDIUM","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","REVIEW_ALIAS","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","","Canonical active Downloads root.","future_generated_scripts_only","false"
"P1","WAIT_USER_DECISION","","ACCEPT_RECOMMENDED","ACCEPT_RECOMMENDED_AFTER_PATH_VISIBLE","LOW_MEDIUM","VIA_ROOT_DOWNLOADS","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","REVIEW_ALIAS","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","","Canonical active Downloads root.","future_generated_scripts_only","false"
