"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114B allow v0114C","PASS","LOW","Gate=READY_FOR_v0114C_SANDBOX_DRYRUN_SIMULATION",""
"COUNT","candidate policy count","PASS","LOW","Policy=12",""
"COUNT","candidate alias count","PASS","LOW","Alias=5",""
"COUNT","candidate row count","PASS","LOW","Rows=149",""
"COUNT","sim policy count match","PASS","LOW","SimPolicy=12",""
"COUNT","sim alias count match","PASS","LOW","SimAlias=5",""
"COUNT","sim row count match","PASS","LOW","SimRows=149",""
"SAFETY","no unsafe flags in simulation","PASS","LOW","UnsafeFlags=0",""
"SAFETY","MACRO_CHINA still excluded","PASS","LOW","MACRO_CHINA rows=0",""
"SECRET","FRED raw value still forbidden","PASS","LOW","Raw FRED pattern rows=0",""
"APPLY_BOUNDARY","real apply blocked","PASS","LOW","Block rows=1",""
