"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114E allow v0114F","PASS","LOW","Gate=READY_FOR_v0114F_RELEASE_CANDIDATE_PACKAGE_ONLY",""
"UPSTREAM","manual release YES","PASS","LOW","Release=YES",""
"UPSTREAM","v0114E validation pass","PASS","LOW","UpstreamFail=0",""
"PACKAGE","package files copied","PASS","LOW","CopyFail=0",""
"PACKAGE","package index count","PASS","LOW","PackageItems=18",""
"PACKAGE","zip package exists","PASS","LOW","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip"
"PACKAGE","zip package non-empty","PASS","LOW","ZipLength=19897","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip"
"COUNT","policy candidate rows","PASS","LOW","Policy candidate expected=12",""
"COUNT","alias candidate rows","PASS","LOW","Alias candidate expected=5",""
"COUNT","row patch rows","PASS","LOW","Rows=149",""
"SAFETY","no unsafe flags carried","PASS","LOW","UnsafeFlags=0",""
"SAFETY","MACRO_CHINA excluded","PASS","LOW","MACRO_CHINA rows=0",""
"SECRET","no raw secret pattern","PASS","LOW","No raw secret pattern detected",""
"APPLY_BOUNDARY","disabled apply AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\_release_candidate_package_only\disabled_apply_boundary\Invoke-VIA-v0114F1-DISABLED-ApplyBoundary.ps1"
