"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114G allow v0114H","PASS","LOW","Gate=READY_FOR_v0114H_FINAL_RELEASE_REVIEW_GATE",""
"UPSTREAM","v0114G validation fail zero","PASS","LOW","UpstreamFail=0",""
"PACKAGE","package items 18","PASS","LOW","Items=18",""
"PACKAGE","zip entries at least 18","PASS","LOW","ZipEntries=21",""
"PACKAGE","zip path exists","PASS","LOW","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114F1_hotfix_release_candidate_package\RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE\output\VIA_v0114F1_HotfixReleaseCandidatePackageOnly_RUN_20260622_213423_VIA_v0114F1_HOTFIX_RELEASE_CANDIDATE_PACKAGE.zip",""
"NOSTALL","no interactive prompt required","PASS","LOW","No Read-Host used in v0114H.",""
"SAFETY","apply disabled","PASS","LOW","apply_enabled=false",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"REVIEW","recommended decision ready","PASS","LOW","Recommended=READY_FOR_v0114I_FINAL_APPLY_PLAN_DRAFT_ONLY",""
