"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114K allow v0114L","PASS","LOW","Gate=READY_FOR_v0114L_FINAL_PRE_APPLY_DRYRUN_ONLY",""
"UPSTREAM","v0114K validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","execution review rows 19","PASS","LOW","ExecRows=19",""
"COUNT","dryrun rows 19","PASS","LOW","DryrunRows=19",""
"DRYRUN","dryrun simulate-only actions","PASS","LOW","BadActionRows=0",""
"DRYRUN","next authorization gate required","PASS","LOW","MissingNextGate=0",""
"DRYRUN","declared source paths exist","PASS","LOW","MissingSourceRows=0",""
"SAFETY","no unsafe flags in dryrun","PASS","LOW","UnsafeFlags=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled dryrun boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114L_final_pre_apply_dryrun_only\RUN_20260622_233757_VIA_v0114L_FINAL_PRE_APPLY_DRYRUN_ONLY\_final_pre_apply_dryrun_only\Invoke-VIA-v0114L-DISABLED-ApplyBoundary.ps1"
