"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114L allow v0114M","PASS","LOW","Gate=READY_FOR_v0114M_FINAL_APPLY_AUTHORIZATION_GATE_ONLY",""
"UPSTREAM","v0114L validation fail zero","PASS","LOW","UpstreamFail=0",""
"DRYRUN","dryrun rows 19","PASS","LOW","DryrunRows=19",""
"DRYRUN","dryrun simulate-only","PASS","LOW","BadDryrunRows=0",""
"SAFETY","no unsafe dryrun flags","PASS","LOW","UnsafeDryrunRows=0",""
"NOSTALL","no Read-Host in v0114M","PASS","LOW","Authorization is parameter-only; no blocking prompt.",""
"FINAL_AUTHORIZATION","exact final authorization phrase matched","FAIL","HIGH","AuthorizationResult=BLOCKED_FINAL_AUTHORIZATION_REQUIRED",""
"SAFETY","execution disabled in v0114M","PASS","LOW","execution_enabled=false",""
"SAFETY","apply disabled in v0114M","PASS","LOW","apply_enabled=false",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
