"def_preview_validation_id","def_source_script_preview_id","def_plan_layer","def_source_file","def_source_exists","def_preview_type","def_preview_statement","def_validation_result","def_next_gate_required","def_execution_enabled","def_apply_enabled","def_source_mutation","def_canonical_merge","def_db_write","def_delete","def_stop_process"
"SCRIPT_PREVIEW_VALIDATION_0001","FINAL_SCRIPT_PREVIEW_0001","POLICY_REGISTRY_PLAN","VIA_v0114A_POLICY_REGISTRY_CANDIDATE.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0002","FINAL_SCRIPT_PREVIEW_0002","ALIAS_REGISTRY_PLAN","VIA_v0114A_ALIAS_REGISTRY_CANDIDATE.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0003","FINAL_SCRIPT_PREVIEW_0003","ROW_MAPPING_PLAN","VIA_v0114A_ROW_PATCH_PLAN_CANDIDATE.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0004","FINAL_SCRIPT_PREVIEW_0004","PACKAGE_ARTIFACT_PLAN","VIA_v0114A_SandboxPatchCandidate_Manifest.json","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0005","FINAL_SCRIPT_PREVIEW_0005","DIFF_REVIEW_PLAN","VIA_v0114A_DIFF_PREVIEW.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0006","FINAL_SCRIPT_PREVIEW_0006","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_POLICY_REGISTRY.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0007","FINAL_SCRIPT_PREVIEW_0007","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ALIAS_REGISTRY.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0008","FINAL_SCRIPT_PREVIEW_0008","REVIEW_EVIDENCE_PLAN","VIA_v0114C_SIMULATED_ROW_MAPPING.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0009","FINAL_SCRIPT_PREVIEW_0009","REVIEW_EVIDENCE_PLAN","VIA_v0114C_DRYRUN_ACTION_PLAN.csv","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
"SCRIPT_PREVIEW_VALIDATION_0010","FINAL_SCRIPT_PREVIEW_0010","REVIEW_EVIDENCE_PLAN","VIA_v0114D_ReviewSeal.json","True","INERT_REVIEW_ONLY","NO_EXECUTION_NO_APPLY","VALIDATED_INERT_REVIEW_ONLY","v0114Q_FINAL_SCRIPT_SEAL_ONLY","false","false","false","false","false","false","false"
