"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114O allow v0114P","PASS","LOW","Gate=READY_FOR_v0114P_FINAL_SCRIPT_PREVIEW_VALIDATION_ONLY",""
"UPSTREAM","v0114O validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","script preview rows 19","PASS","LOW","ScriptPreviewRows=19",""
"COUNT","preview validation rows 19","PASS","LOW","PreviewValidationRows=19",""
"SCRIPT_PREVIEW","preview type inert","PASS","LOW","BadPreviewTypeRows=0",""
"SCRIPT_PREVIEW","preview statement no execution no apply","PASS","LOW","BadPreviewRows=0",""
"SCRIPT_PREVIEW","next seal gate required","PASS","LOW","MissingNextGate=0",""
"SAFETY","no unsafe preview rows","PASS","LOW","UnsafePreviewRows=0",""
"SAFETY","no unsafe validation rows","PASS","LOW","UnsafeValidationRows=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"SCRIPT_FILE","preview script AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
"SCRIPT_FILE","preview script no dangerous command","PASS","LOW","No dangerous command pattern detected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114O_final_apply_script_preview_only\RUN_20260623_005334_VIA_v0114O_FINAL_APPLY_SCRIPT_PREVIEW_ONLY\_final_apply_script_preview_only\Invoke-VIA-v0114O-FINAL-APPLY-SCRIPT-PREVIEW-ONLY-DISABLED.ps1"
"APPLY_BOUNDARY","disabled boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114P_final_script_preview_validation_only\RUN_20260623_011209_VIA_v0114P_FINAL_SCRIPT_PREVIEW_VALIDATION_ONLY\_final_script_preview_validation_only\Invoke-VIA-v0114P-DISABLED-ExecutionBoundary.ps1"
