"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114R allow v0114S","PASS","LOW","Gate=READY_FOR_v0114S_FINAL_RELEASE_PACKAGE_SEAL_ONLY",""
"UPSTREAM","v0114R validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","release review rows 19","PASS","LOW","ReleaseReviewRows=19",""
"COUNT","release package seal rows 19","PASS","LOW","PackageSealRows=19",""
"PACKAGE_SEAL","package seal-only action","PASS","LOW","BadActionRows=0",""
"PACKAGE_SEAL","next package validation gate required","PASS","LOW","MissingNextGate=0",""
"HASH","hash ledger all declared items exist","PASS","LOW","MissingHashItems=0",""
"HASH","hash ledger non-directory hashes present","PASS","LOW","MissingHash=0",""
"SAFETY","no unsafe package seal rows","PASS","LOW","UnsafePackageRows=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114S_final_release_package_seal_only\RUN_20260623_020926_VIA_v0114S_FINAL_RELEASE_PACKAGE_SEAL_ONLY\_final_release_package_seal_only\Invoke-VIA-v0114S-DISABLED-FinalReleasePackageBoundary.ps1"
