"def_layer","def_test","def_status","def_risk","def_message","def_path"
"UPSTREAM","v0114S allow v0114T","PASS","LOW","Gate=READY_FOR_v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY",""
"UPSTREAM","v0114S validation fail zero","PASS","LOW","UpstreamFail=0",""
"UPSTREAM","execution disabled upstream","PASS","LOW","execution_enabled=false",""
"UPSTREAM","apply disabled upstream","PASS","LOW","apply_enabled=false",""
"COUNT","package seal rows 19","PASS","LOW","PackageSealRows=19",""
"COUNT","package validation rows 19","PASS","LOW","PackageValidationRows=19",""
"PACKAGE_VALIDATION","package validation-only action","PASS","LOW","BadActionRows=0",""
"PACKAGE_VALIDATION","next freeze seal gate required","PASS","LOW","MissingNextGate=0",""
"HASH","hash ledger all declared items exist","PASS","LOW","MissingHashItems=0",""
"HASH","hash ledger non-directory hashes present","PASS","LOW","MissingHash=0",""
"SAFETY","no unsafe package validation rows","PASS","LOW","UnsafePackageRows=0",""
"SAFETY","source mutation false","PASS","LOW","source_mutation=false",""
"SAFETY","canonical merge false","PASS","LOW","canonical_merge=false",""
"SAFETY","db write false","PASS","LOW","db_write=false",""
"APPLY_BOUNDARY","disabled boundary AST clean","PASS","LOW","AST clean","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF\_integration_v0114T_final_release_package_validation_only\RUN_20260623_021149_VIA_v0114T_FINAL_RELEASE_PACKAGE_VALIDATION_ONLY\_final_release_package_validation_only\Invoke-VIA-v0114T-DISABLED-FinalReleasePackageValidationBoundary.ps1"
