"system","lane","role","name","bytes","path"
"VRN","VRN-1","PYTHON_MODULE","ACTIVATE_AND_CROSS_VALIDATE_FAST_WRAPPER.py","4387","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\ACTIVATE_AND_CROSS_VALIDATE_FAST_WRAPPER.py"
"VRN","VRN-1","PYTHON_MODULE","ACTIVATE_AND_CROSS_VALIDATE.py","36317","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\ACTIVATE_AND_CROSS_VALIDATE.py"
"VRN","VRN-1","PYTHON_MODULE","VIA_HardGate_BootPrecheck.py","9102","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VIA_HardGate_BootPrecheck.py"
"VRN","VRN-1","PYTHON_MODULE","vrn_d8b_filename_parser.py","5728","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\vrn_d8b_filename_parser.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_Doctor.py","8255","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_Doctor.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL001_Converter.py","66733","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL001_Converter.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL001_StockReportPipeline.py","117332","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL001_StockReportPipeline.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL002_LayoutExtractor.py","95950","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL002_LayoutExtractor.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL003_TableRestorer.py","108769","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL003_TableRestorer.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL004_OCR_FetchingPDFTable.py","132661","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL004_OCR_FetchingPDFTable.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL005_OCRFetchingPDFText.py","113302","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL005_OCRFetchingPDFText.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL006_ConsolidatorAndPhaseValidator.py","59049","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL006_ConsolidatorAndPhaseValidator.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL007_APIDataFetcher.py","59026","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL007_APIDataFetcher.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_MDL008_CrossValidator.py","58523","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL008_CrossValidator.py"
"VRN","VRN-1","ACCOUNT_DICTIONARY","VRN_MDL009_FinancialAnalysisExtractor.py","3970","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_MDL009_FinancialAnalysisExtractor.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_OfficialConnector_HardGateDryRun.py","8622","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_OfficialConnector_HardGateDryRun.py"
"VRN","VRN-1","PYTHON_MODULE","VRN_YFinance_TW_TWO_Fallback_Patch.py","15667","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\VRN_YFinance_TW_TWO_Fallback_Patch.py"
