"Time","Round","Layer","Name","Status","Risk","Class","Priority","Metric","Value","Message","Path"
"2026-06-15T15:30:21.291+08:00","Round0","POLICY","Use Active Pointer","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","pointer","true","Use VRN_ACTIVE_STAGE_POINTER.json.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT"
"2026-06-15T15:30:21.292+08:00","Round0","POLICY","No Canonical Promotion","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","canonical","false","Canonical remains blocked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_FINANCIALDATA_STAGING_EXTRACTION_STORE_v029VRN1D_20260615_153021"
"2026-06-15T15:30:21.293+08:00","Round0","POLICY","No OCR Rerun","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","ocr_rerun","false","Read existing ReportText parquet only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_FINANCIALDATA_STAGING_EXTRACTION_STORE_v029VRN1D_20260615_153021"
"2026-06-15T15:30:21.293+08:00","Round0","POLICY","Parquet Truth Source","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","payload","parquet","FinancialData stored as parquet.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T15:30:21.294+08:00","Round0","POLICY","DuckDB Serving Layer","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","duckdb","True","DuckDB rebuilt from parquet.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE"
"2026-06-15T15:30:21.296+08:00","Round1","INPUT","VRN_ACTIVE_STAGE_POINTER.json","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\VRN_ACTIVE_STAGE_POINTER.json"
"2026-06-15T15:30:21.297+08:00","Round1","INPUT","StockReportBasicInfo.parquet","OK_FOUND","LOW","PARALLEL_SAFE","P0","exists","true","Input found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\DATABASE\StockReportBasicInfo.parquet"
"2026-06-15T15:30:22.209+08:00","Round1","ENGINE","Python Stack","OK_VERIFIED","LOW","PARALLEL_SAFE","P0","deps","pandas/pyarrow/duckdb","Python stack verified.","C:\Python313\python.exe"
"2026-06-15T15:30:22.214+08:00","Round2","ENGINE","FinancialData Extraction Python Engine","OK_CREATED","LOW","PARALLEL_SAFE","P0","script","created","Python extraction engine created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_FINANCIALDATA_STAGING_EXTRACTION_STORE_v029VRN1D_20260615_153021\work\vrn_financialdata_staging_extraction_store_v029vrn1d.py"
"2026-06-15T15:30:33.913+08:00","Round2","EXTRACT","FinancialData Extraction","OK_EXTRACTED","LOW","PARALLEL_SAFE","P0","exit","0","FinancialData staging extraction completed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\SSOT\_runs\VRN_FINANCIALDATA_STAGING_EXTRACTION_STORE_v029VRN1D_20260615_153021\runtime\VRN_FinancialDataStagingExtractionStore_PythonRuntime_v029VRN1D.json"
