"Time","Layer","Name","Path","Status","Risk","Metric","Value","Message","Sha256","SizeBytes"
"2026-06-09 02:52:33","SETUP","Input Folder","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\tw_stock_report_input","OK","LOW","directory","exists","Directory exists.","","0"
"2026-06-09 02:52:33","SETUP","Temp Folder","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VRN\temp","OK","LOW","directory","exists","Directory exists.","","0"
"2026-06-09 02:52:33","SETUP","Output Folder","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN","OK","LOW","directory","exists","Directory exists.","","0"
"2026-06-09 02:52:33","SUPPORTIVE","Read_Me_VeritasNexusCore.md","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Read_Me_VeritasNexusCore.md","OK","LOW","file","exists_non_empty","File exists and is non-empty.","e17a9d1312f6b730094c4d868156681cf7b7d49c53fa1b2226ab5c859f6b79f2","11108"
"2026-06-09 02:52:33","SUPPORTIVE","Invoke-VeritasNexusCore.ps1","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","OK","LOW","file","exists_non_empty","File exists and is non-empty.","d8741599a121f33a31a57c372ba86aa328d74f1c9be5817aeb7682c1fffc267c","2911"
"2026-06-09 02:52:33","VRN_MDL","VerifiedModuleSource","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VRN\_vrn_verified_modules\VRN_VERIFIED_MODULES_20260609_002934\numbered_modules","OK","LOW","source","found","Verified module source found.","","0"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL001_VRN_CANONICAL_ACTIVE_SEAL_PREVIEW__GOVERNANCE__v0_0.json","OK","LOW","renumbered","VRN_MDL001","Verified module renumbered. Phase=MDL001_TO_MDL003_DATASET_1; Role=GOVERNANCE","6091bf7d501365a0469c6606a0b089750c7b9159731d0334fe6783a606596233","484659"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL002_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL002_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","OK","LOW","renumbered","VRN_MDL002","Verified module renumbered. Phase=MDL001_TO_MDL003_DATASET_1; Role=MODULE","34962ad5edefb769dbcaa3e3ee0383607e7fc946ef8b1a4e42c76893f7ad1dc3","408007"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL003_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL003_VRN_v139L_Top10_Accelerator_Matrix__MODULE__v139L.json","OK","LOW","renumbered","VRN_MDL003","Verified module renumbered. Phase=MDL001_TO_MDL003_DATASET_1; Role=MODULE","0d4a16553bea2d5e01a548dbac9c26ebbe77d7de176a02418d293e959fd156df","406781"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL004_VRN_v139Q_Final_Yellow_Fix_Matrix__MODULE__v139Q.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL004_VRN_v139Q_Final_Yellow_Fix_Matrix__MODULE__v139Q.json","OK","LOW","renumbered","VRN_MDL004","Verified module renumbered. Phase=MDL001_TO_MDL006_DATASET_2; Role=MODULE","db441d00c1ce808efe245d4abcebdefc93d6a0fc3cb9852a538309d46a07ae1b","13201"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL005_VRN_v139P_PostBridge_Rescore_Matrix__MODULE__v139P.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL005_VRN_v139P_PostBridge_Rescore_Matrix__MODULE__v139P.json","OK","LOW","renumbered","VRN_MDL005","Verified module renumbered. Phase=MDL001_TO_MDL006_DATASET_2; Role=MODULE","1dfeb76150340f11b688678a342c44908b347048db169e9165b0d0044cfc5b94","33209"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL006_VRN_v141D6C_Source_Hygiene_NoHang__BRIDGE__v141D6C.json","OK","LOW","renumbered","VRN_MDL006","Verified module renumbered. Phase=MDL001_TO_MDL006_DATASET_2; Role=BRIDGE","23d34131fbe8831d9b5d76494d02d70f5938deb45bab25595baceb9a2caecf0b","8772385"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL007_VRN_v139L_FileHash_Cache__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL007_VRN_v139L_FileHash_Cache__MODULE__v139L.json","OK","LOW","renumbered","VRN_MDL007","Verified module renumbered. Phase=MDL007_TO_MDL008_CONTINUOUS_VALIDATION; Role=MODULE","e1b8ce7f04c534972c985d3b64fb22064e127738ccf304049717e817c7213cc1","67219"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL008_VRN_v139L_FileHash_Cache__MODULE__v139L.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL008_VRN_v139L_FileHash_Cache__MODULE__v139L.json","OK","LOW","renumbered","VRN_MDL008","Verified module renumbered. Phase=MDL007_TO_MDL008_CONTINUOUS_VALIDATION; Role=MODULE","61d5be892980817a3e9900767c40ada01106ed9a0bdba1c8973c59f8e306952f","66983"
"2026-06-09 02:52:33","VRN_MDL","VRN_MDL009_VRN_Consensus_CanonicalAlias_LightUI_Fix__SUPPORT_RULE__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL009_VRN_Consensus_CanonicalAlias_LightUI_Fix__SUPPORT_RULE__v0_0.json","OK","LOW","renumbered","VRN_MDL009","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=SUPPORT_RULE","ead297d28ab083c2ac7126fb0d95033fc6f6202370d8523900a2bd48e17d29a8","18247"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL010_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","OK","LOW","renumbered","VRN_MDL010","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=FINANCIALDATA","47606d03d37084878e4ac94a96682e01bba0ac212dc0c5f0b85a03fb2ce1ff23","22002647"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL011_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","OK","LOW","renumbered","VRN_MDL011","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=FINANCIALDATA","cae1ef0945788a2ac480f624db2a8dcd3f7729a2db8bc7c4906fee32e7ec7069","21995434"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL012_VRN_BasicFinancial_Confidence_Method_Review__FINANCIALDATA__v0_0.json","OK","LOW","renumbered","VRN_MDL012","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=FINANCIALDATA","18471cd3c1fbdb0683d1590da42a963ade4afd2b551fe8822319b9c7f6e4b7ce","21988222"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL013_VRN_v139K_DualCore_Coverage_Matrix__MODULE__v139K.json","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL013_VRN_v139K_DualCore_Coverage_Matrix__MODULE__v139K.json","OK","LOW","renumbered","VRN_MDL013","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=MODULE","8881eda94040b4603aefee803dbdfe95eea9747a287f9d95ec10af069d96e9f9","13773712"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL014_vrn_final_control_center_v061575__MODULE__v061575.py","OK","LOW","renumbered","VRN_MDL014","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=MODULE","6ed5443d6aeb3e9ca8c061932f8e4e84e023a4c7ca50ef8978749db90d1a6ac9","26069"
"2026-06-09 02:52:34","VRN_MDL","VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VRN\_registry\verified_numbered_modules\VRN_MDL015_vrn_final_production_lock_registry_v061573__SUPPORT_RULE__v061573.py","OK","LOW","renumbered","VRN_MDL015","Verified module renumbered. Phase=MDL009_PLUS_SUPPORT; Role=SUPPORT_RULE","6ce8cacd8e247b4688271ceab12961716a2a26f6cf1aaedc3cfdfd3804d744ec","18239"
