path,exists,suffix,bytes,sha256,score,score_reasons,readable,container,record_count,key_column,columns,table_names,selected_table,error,explicit_operator_target
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_Governance_Runtime\v0139A\ledger\VRN_Canonical_Promotion_Ledger.v0139A.jsonl,True,.jsonl,1450,bf248fe0b176e1c8aba59214ef86da5e3424f849e4f20230b7424da016fbaa69,145,FILENAME_VRN;FILENAME_CANONICAL;FILENAME_LEDGER;SUPPORTIVE_TREE;APPEND_FRIENDLY_JSONL;READABLE,True,JSONL,1,,backup_path;backup_sha256;canonical_path;fallback_preserved;final_canonical_sha256;gate;initial_canonical_sha256;initial_hash_state;mutation_executed;post_probe_clixml_benign;post_probe_exit_code;post_probe_pass;post_probe_risk_pattern_count;post_probe_runtime_exception;previous_record_sha256;promotion_action;proposed_sha256;record_sha256;rollback_action;run_dir;run_switch_used;timestamp;version,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\VIA_Governance_Runtime\v0147A\ledger\VRN_Canonical_TargetFile_Promotion_Ledger.v0147A.jsonl,True,.jsonl,1133,558cc49c5bc71069b543afa7d3f3345ba142f5883ab08a13e5e3b1fcac9db3d8,145,FILENAME_VRN;FILENAME_CANONICAL;FILENAME_LEDGER;SUPPORTIVE_TREE;APPEND_FRIENDLY_JSONL;READABLE,True,JSONL,2,,action;backup;broker_sha256;candidate_sha256;canonical_sha256;gate;original_sha256;proposed_sha256;recorded_at;shim_sha256;state_after;state_before;target;version,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_VDF_Supportive_Nexus_SSOT_HardGate_v0311.csv,True,.csv,508341,b98b6e84ed7205fdb1fa31532800f72a2b1af7bd730b704ed67043a28d84e630,140,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;APPENDABLE_CSV;READABLE,True,CSV,1664,,Time;Round;Project;Lane;Step;Name;Status;Risk;Class;Priority;Metric;Value;Message;Path,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VIA_Nexus_VDF_VRN_SSOT_Integration_v04_Matrix.csv,True,.csv,28051,22be19c2a3ce8a80cad981947d26417aad609cc18886293703c72bd2e71d81f4,140,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;APPENDABLE_CSV;READABLE,True,CSV,151,,Time;Round;Layer;Name;Status;Risk;FixClass;Metric;Value;Message;Path;Sha256,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_SSOTVerifierActivePointer_Matrix_v029SSOT1C.csv,True,.csv,10053,ce00c96c7f964522a4476da4585d15e6b615808bf461f409f2b549d1ab4e6b97,140,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;APPENDABLE_CSV;READABLE,True,CSV,30,,Time;Round;Layer;Name;Status;Risk;Class;Priority;Metric;Value;Message;Path,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_UnifiedSSOTBuilder_Matrix_v029SSOT1B.csv,True,.csv,7780,54af11469c84369ba2432ad9ed2e01e35c324c845e7dd68faf89517031979e5f,140,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;APPENDABLE_CSV;READABLE,True,CSV,26,,Time;Round;Layer;Name;Status;Risk;Class;Priority;Metric;Value;Message;Path,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL051_VRN_ProjectState_SSOT_v141E2_SUPPORT_RULE_v141E2_shaedd7a78f97cc.json,True,.json,1017425,edd7a78f97cc18d8c2c6032bb48ea24ac48cc6d84ca2991da91a20dae9b07b3e,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL051_VRN_ProjectState_SSOT_v141E2__SUPPORT_RULE__v141E2.json,True,.json,1017425,edd7a78f97cc18d8c2c6032bb48ea24ac48cc6d84ca2991da91a20dae9b07b3e,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_VDF_Supportive_Nexus_SSOT_HardGate_v0311.json,True,.json,942781,ab30c2b7fc37acca915460ba1c65b740add206067c4bbe8abe7a0b6c14f4a508,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_LIST:rows,1664,,Class;Lane;Message;Metric;Name;Path;Priority;Project;Risk;Round;Status;Step;Time;Value,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL224_VRN_ProjectState_SSOT_GOVERNANCE_v0_0_shaa6eaa21a36dc.json,True,.json,670960,a6eaa21a36dcafa8580d0134bb6b09cbffc80d792914a65e6035dbe0c6c2e8f7,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL224_VRN_ProjectState_SSOT__GOVERNANCE__v0_0.json,True,.json,670960,a6eaa21a36dcafa8580d0134bb6b09cbffc80d792914a65e6035dbe0c6c2e8f7,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL225_VRN_ProjectState_SSOT_GOVERNANCE_v0_0_shaa67fca5b7da5.json,True,.json,662885,a67fca5b7da595f692b9e7e715283c443c32db12dfdf6049729924d3231205c0,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_MDL225_VRN_ProjectState_SSOT__GOVERNANCE__v0_0.json,True,.json,662885,a67fca5b7da595f692b9e7e715283c443c32db12dfdf6049729924d3231205c0,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_SSOT_SourceInventory_v029SSOT1B.json,True,.json,238024,1177c49f214d74f6af2a2a0e4dae25f050ed372b48ef8d93692c51f60ef960c7,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,LIST,589,,class_hint;last_write_time;length;name;path;source_id,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VIA_Nexus_VDF_VRN_SSOT_Integration_v04_Matrix.json,True,.json,63283,ff0e0b04f33da393d91fe1a4ca45a36b5b3c0e556ebd20a32e30b8aebed8951f,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_LIST:rows,151,,FixClass;Layer;Message;Metric;Name;Path;Risk;Round;Sha256;Status;Time;Value,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_FinancialSSOT_CrossLinks.json,True,.json,27893,a12c44d4b92c7b4d929e2cd3fdc3ec115afcd04b3dec1d0966afafad92c1e31a,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_FinancialSSOT_CrossLinks_shaa12c44d4b92c.json,True,.json,27893,a12c44d4b92c7b4d929e2cd3fdc3ec115afcd04b3dec1d0966afafad92c1e31a,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\ssot\VRN_FinancialTerms_SSOT.json,True,.json,16149,a5008c4a7d4f4b5141f107ed8a72bbdebf0e505ac7e7f2299dbb1b2ce219f54f,130,FILENAME_SSOT;FILENAME_VRN;SUPPORTIVE_TREE;READABLE,True,DICT_SINGLE,0,,,,,,False
