"Layer","Gate","Status","Risk","Metric","Value","Message","Path"
"Risk","Final HIGH Gate","PASS","LOW","final_high","0","Direct executable blockers must be zero.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs\RUN_20260615_180155_v03252_FINAL_RISK_DOWNGRADE_ENV_APPROVAL\runtime\VIA_VRN_VDF_FinalRiskDowngrade_Runtime_v03252.json"
"Risk","Final MEDIUM Review Gate","WARN_ACCEPTED_WITH_GATE","MEDIUM","final_medium","7","MEDIUM rows are allowed only under approval gates.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs\RUN_20260615_180155_v03252_FINAL_RISK_DOWNGRADE_ENV_APPROVAL\runtime\VIA_VRN_VDF_FinalRiskDowngrade_Runtime_v03252.json"
"Env","Env Approval Gate","PASS","LOW","EnvInstallApproved","False","Environment install must remain disabled.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs\RUN_20260615_180155_v03252_FINAL_RISK_DOWNGRADE_ENV_APPROVAL\runtime\VIA_VRN_VDF_FinalRiskDowngrade_Runtime_v03252.json"
"Env","Auto Pip Gate","PASS","LOW","AutoPipInstallAllowed","False","Automatic pip install must remain disabled.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs\RUN_20260615_180155_v03252_FINAL_RISK_DOWNGRADE_ENV_APPROVAL\runtime\VIA_VRN_VDF_FinalRiskDowngrade_Runtime_v03252.json"
"Lock","True Active Blocker Gate","PASS","LOW","true_active_blocker","0","Locked package must have no true active blocker.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\runtime\VIA_VRN_VDF_UserReviewFinalSealLock_Runtime_v03231.json"
"Hash","Lock SHA256 Gate","PASS","LOW","hash_warn","0","Review lock hashes must still match.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_user_review_final_lock_runs\RUN_20260615_174654_v03231_USER_REVIEW_FINAL_LOCK_HOTFIX\registry\VIA_VRN_VDF_UserReviewFinalSealLock_Manifest_v03231.csv"
"Hash","Digest Hash Gate","PASS","LOW","digest_hash_warn","0","Manual digest hash verification must remain clean.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_manual_review_digest_runs\RUN_20260615_175021_v0324_MANUAL_REVIEW_DIGEST\runtime\VIA_VRN_VDF_ManualReviewDigest_Runtime_v0324.json"
"Review","Review-Not-Blocker Record","WARN_REVIEW_ONLY","MEDIUM","review_but_not_blocker","37","Review items are recorded; they do not block preflight after line inspection.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_manual_review_digest_runs\RUN_20260615_175021_v0324_MANUAL_REVIEW_DIGEST\runtime\VIA_VRN_VDF_ManualReviewDigest_Runtime_v0324.json"
"SSOT","SSOT Review Copy Record","WARN_REVIEW_COPY_ONLY","MEDIUM","ssot_review_copy_only","8","SSOT remains review-copy-only; no canonical overwrite.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_manual_review_digest_runs\RUN_20260615_175021_v0324_MANUAL_REVIEW_DIGEST\runtime\VIA_VRN_VDF_ManualReviewDigest_Runtime_v0324.json"
"Policy","Preflight Only Policy","PASS","LOW","canonical_promotion","False","This run does not promote canonical or active pointer.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\_vrn_vdf_final_risk_downgrade_runs\RUN_20260615_180155_v03252_FINAL_RISK_DOWNGRADE_ENV_APPROVAL\optional_active_lock_preflight\VIA_VRN_VDF_OptionalActiveLockPreflight_Input_v03252.json"
