"Path","Pattern","LineNumber","OriginalClass","OriginalRisk","FinalClass","FinalRisk","FinalDecision","FinalReason","FinalAction","LineText"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VeritasNexusCore.ps1","pip install","329","REVIEW_REQUIRED","MEDIUM","DISPLAY_OR_POLICY_TEXT","LOW","SAFE_TO_PROCEED","Pattern appears in display/policy text, not execution.","Do not block optional active lock.","def_WriteHtmlTable -Rows $rows -Title ""NexusCore DownloadOnly Report"" -OutPath $outHtml -Description ""No pip install."""
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\Invoke-VIA-PolyglotCheckTestRepair-v0101.ps1","Stop-Process","661","SCANNER_RULE_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","Policy: DB write=false . canonical merge=false . destructive delete=false . stop-process=false . append-only"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\20_Registry_SSOT\VIA_SSOT_Unified.py","Stop-Process","1134","LIST_LITERAL_TEXT","LOW","SCANNER_RULE_OR_LITERAL_TEXT","LOW","SAFE_TO_PROCEED","Pattern is policy scanner / regex / literal text; not an executable command.","Do not block optional active lock.","""Stop-Process"","
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","909","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","commands.append(f'uv pip install --python ""{python_exe}"" {missing}')"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","910","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","commands.append(f'""{python_exe}"" -m pip install {missing}')"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","916","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","commands.append(f'""{python_exe}"" -m pip install --upgrade pip setuptools wheel')"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","934","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","powershell_commands.append(f'uv pip install --python ""{target_python}"" {package_expr}')"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","939","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","powershell_commands.append(f'& ""{target_python}"" -m pip install {package_expr}')"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","943","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","f'""{target_python}"" -m pip install {package_expr}',"
"C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules\40_Environment_Health\VIA_EnvManager.py","pip install","964","ENV_MUTATION_COMMAND_BUILDER","MEDIUM","ENV_MUTATION_APPROVAL_GATE_REQUIRED","MEDIUM","PROCEED_ONLY_WITH_ENV_INSTALL_DISABLED","Line builds environment install command. It is not immediate execution, but must remain disabled unless explicitly approved.","Optional active lock may proceed only with EnvInstallApproved=false and no automatic pip install.","commands.append(f'& ""{python_exe}"" -m pip install --upgrade pip setuptools wheel')"
