asset_id,file_name,path,ext,kind,taxonomy,size,modified,header_count,row_count_estimate,best_template,template_score,status,detail,warning_reason,axes,supports_stack,supports_event_matrix,supports_heatmap,supports_candle,supports_watchlist,visual_lock,plotly_present,headers_json,sample_json
VAP_DATA_00001_VAP_MultiCompare,VAP_MultiCompare.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_MultiCompare.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,267199,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,False,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""Multi-Ticker Comparison — 20260319_152911"", ""ids"": ""notifyArea, pg_Comparison, 9988da0c-6b97-46ac-9949-0e1387aa68c8, 0310f54f-e531-41ac-adb5-fe2b0aae883d, pg_tables"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, pt,  on, pg on, cd, cd-h"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 4}]"
VAP_DATA_00002_VAP_NVDA_VDF,VAP_NVDA_VDF.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_NVDA_VDF.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,1617096,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,True,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""NVDA (NVIDIA) Analysis — 20260319_152910"", ""ids"": ""notifyArea, pg_Technical_Analysis, 29bd07f0-181c-4a56-833c-f63f59527871, pg_Price_&_MA, 41eb627d-9a03-4779-95b9-26b070427398, 1f5ea3a9-13a5-49c7-ad90-6d9740105c7a, pg_Oscillators, 91ce263c-b88c-4811-a1b1-f11a4cc05d81, c3a339a5-1b1d-4bd3-90a5-87d37addb7fa, 7e36e34d-e67f-4ec9-81e8-c9bbeb756592, pg_Quant_Analysis, 9076939d-e955-43c2-9198-1fa16c6660a8, 4aafbfe3-5c9b-453e-b2c7-cf73dfdacbcf, pg_Bubble_&_Valuation, c1f25791-c9a8-43a0-b8ac-b67da2424b41, 8019d7af-31cf-47a3-91e9-19569a1cccfa, pg_tables, pg_insights, pg_events, pg_profile, pg_registry"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l"", ""anchors"": ""ANCuZxczAVUCSZ9MBSh9WQFAB, ANCL1l70K78ACqMmjqyPP2Aoilw9rKU"", ""plotly_present"": true, ""script_count"": 12}]"
VAP_DATA_00003_VAP_SMH_Flow,VAP_SMH_Flow.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_SMH_Flow.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,166307,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,False,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""SMH ETF Fund Flow Analysis — 20260319_152911"", ""ids"": ""notifyArea, pg_Fund_Flow, 797bba82-b3e7-4700-938e-5f55e78273b9, 6810d9ee-773c-4931-bb3f-d631383f16a6"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, pt,  on, pg on, cd, cd-h, cd-i, cd-t, cd-b, plotly-graph-div"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 4}]"
VAP_DATA_00004_VAP_VDF_Panoramic,VAP_VDF_Panoramic.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VAP_VDF_Panoramic.html,.html,html_template_or_report,HTML_PLOT_HEATMAP,14133,2026-03-22T19:15:51,6,1,VAP_TPL_HEATMAP_006,98,OK,html_meta,,1,True,False,True,False,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""VDF System Panoramic View — 20260319_152911"", ""ids"": ""notifyArea, pg_tables, pg_profile"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, pt, pg, cd"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 2}]"
VAP_DATA_00005_VEGN_v32_TEST,VEGN_v32_TEST.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VEGN_v32_TEST.html,.html,html_template_or_report,HTML_PLOT_HEATMAP,17132,2026-04-09T19:08:11,6,1,VAP_TPL_HEATMAP_006,83,OK,html_meta,,1,True,False,True,False,False,False,False,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""VEGN Step 1 v3.2 — VIA Env Governance"", ""ids"": ""tabs, p1, p2, p3, srch, cnt, tLib, p4, p5, p6, p7, prm"", ""classes"": ""w, hdr, h1t, ac, at, av, aa, h2t, h3t, hdr-meta, sg, sc b, n, l, sc g, n, l, sc r, n, l, sc a, n, l, sc t, n, l, sc r, n, l, sc"", ""anchors"": """", ""plotly_present"": false, ""script_count"": 1}]"
VAP_DATA_00006_VAP_MultiCompare,VAP_MultiCompare.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_MultiCompare.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,267199,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,False,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""Multi-Ticker Comparison — 20260319_152911"", ""ids"": ""notifyArea, pg_Comparison, 9988da0c-6b97-46ac-9949-0e1387aa68c8, 0310f54f-e531-41ac-adb5-fe2b0aae883d, pg_tables"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-s, pt,  on, pg on, cd, cd-h"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 4}]"
VAP_DATA_00007_VAP_NVDA_VDF,VAP_NVDA_VDF.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_NVDA_VDF.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,1617096,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,True,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""NVDA (NVIDIA) Analysis — 20260319_152910"", ""ids"": ""notifyArea, pg_Technical_Analysis, 29bd07f0-181c-4a56-833c-f63f59527871, pg_Price_&_MA, 41eb627d-9a03-4779-95b9-26b070427398, 1f5ea3a9-13a5-49c7-ad90-6d9740105c7a, pg_Oscillators, 91ce263c-b88c-4811-a1b1-f11a4cc05d81, c3a339a5-1b1d-4bd3-90a5-87d37addb7fa, 7e36e34d-e67f-4ec9-81e8-c9bbeb756592, pg_Quant_Analysis, 9076939d-e955-43c2-9198-1fa16c6660a8, 4aafbfe3-5c9b-453e-b2c7-cf73dfdacbcf, pg_Bubble_&_Valuation, c1f25791-c9a8-43a0-b8ac-b67da2424b41, 8019d7af-31cf-47a3-91e9-19569a1cccfa, pg_tables, pg_insights, pg_events, pg_profile, pg_registry"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-s, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l"", ""anchors"": ""ANCuZxczAVUCSZ9MBSh9WQFAB, ANCL1l70K78ACqMmjqyPP2Aoilw9rKU"", ""plotly_present"": true, ""script_count"": 12}]"
VAP_DATA_00008_VAP_SMH_Flow,VAP_SMH_Flow.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_SMH_Flow.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,166307,2026-03-22T19:15:51,6,1,VAP_TPL_CANDLE_TA_007,98,OK,html_meta,,2,True,False,True,True,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""SMH ETF Fund Flow Analysis — 20260319_152911"", ""ids"": ""notifyArea, pg_Fund_Flow, 797bba82-b3e7-4700-938e-5f55e78273b9, 6810d9ee-773c-4931-bb3f-d631383f16a6"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, pt,  on, pg on, cd, cd-h, cd-i, cd-t, cd-b, plotly-graph-div"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 4}]"
VAP_DATA_00009_VAP_VDF_Panoramic,VAP_VDF_Panoramic.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\core\VAP_VDF_Panoramic.html,.html,html_template_or_report,HTML_PLOT_HEATMAP,14133,2026-03-22T19:15:51,6,1,VAP_TPL_HEATMAP_006,98,OK,html_meta,,1,True,False,True,False,True,True,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""VDF System Panoramic View — 20260319_152911"", ""ids"": ""notifyArea, pg_tables, pg_profile"", ""classes"": ""notify, w, hdr, h1t, h2t, hdr-r, lt, bn sm, io-g, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, io-c , io-l, io-v, pt, pg, cd"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 2}]"
VAP_DATA_00010_05567652_0bbf_41fe_afbb_268e193f8b05,05567652-0bbf-41fe-afbb-268e193f8b05.html,C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\module\VAP\VeritasAutoPlot\05567652-0bbf-41fe-afbb-268e193f8b05.html,.html,html_template_or_report,HTML_PLOT_CANDLE_TA,72743,2025-12-28T16:40:08,6,1,VAP_TPL_CANDLE_TA_007,91,OK,html_meta,,1,True,False,False,True,True,False,True,"[""title"", ""ids"", ""classes"", ""anchors"", ""plotly_present"", ""script_count""]","[{""title"": ""VeritasAutoPlot - Professional Financial Analytics"", ""ids"": ""dbStatus, themeIcon, symbolName, symbolPrice, symbolChange, indicatorTags, mainChart, ohlcO, ohlcH, ohlcL, ohlcC, ohlcV, volumeChart, rsiPanel, rsiChart, macdPanel, macdChart, panelIndicators, panelStyle, themeSelect, toggleGrid, toggleLog, toggleAuto, toggleCross, colorUp, colorDown, seabornPalette, panelData, dataCount, dataRange"", ""classes"": ""app, sidebar, sidebar-header, logo, logo-text, sidebar-nav, nav-section, nav-section-title, nav-item active, nav-icon, nav-item, nav-icon, nav-item, nav-icon, nav-section, nav-section-title, nav-item, nav-icon, nav-item, nav-icon, nav-item, nav-icon, nav-section, nav-section-title, nav-item, nav-icon, nav-item, nav-icon, nav-item, nav-icon"", ""anchors"": """", ""plotly_present"": true, ""script_count"": 4}]"
