"def_priority","def_alias","def_alias_user_accept","def_alias_reject_reason","def_path_value","def_status","def_risk","def_suggested_alias_decision","def_selected_alias_value","def_suggested_selected_alias_value","def_alias_note","def_scope","def_mutate_existing_source","def_canonical_merge"
"P1_ALIAS","FUNCTIONAL_MODULES_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","ACCEPT_CANONICAL_ROOT","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","PYTHON_ENV_ONEDRIVE","","","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","ENV_REVIEW","MEDIUM_HIGH","SUGGEST_DEFER_OR_REJECT","","","Legacy/OneDrive root should not be promoted unless still required.","future_generated_scripts_only","false","false"
"P1_ALIAS","SUPPORTIVE_MODULES_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","ACCEPT_CANONICAL_ROOT","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","USER_DOWNLOADS","","","C:\Users\tonyk\Downloads","REFERENCE_ONLY","LOW","SUGGEST_ACCEPT_REFERENCE_ONLY","","C:\Users\tonyk\Downloads","Useful reference root, but not module canonical root.","future_generated_scripts_only","false","false"
"P1_ALIAS","VDF_DIR_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","ACCEPT_CANONICAL_ROOT","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","VIA_ROOT_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","ACCEPT_CANONICAL_ROOT","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","VIA_ROOT_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","REVIEW_ALIAS","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","VIA_ROOT_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","REVIEW_ALIAS","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","VIA_ROOT_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","REVIEW_ALIAS","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
"P1_ALIAS","VIA_ROOT_DOWNLOADS","","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","REVIEW_ALIAS","LOW_MEDIUM","SUGGEST_ACCEPT_ACTIVE_DOWNLOADS_ROOT","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","Active Downloads root appears consistent with current run path.","future_generated_scripts_only","false","false"
