"def_pack_layer","def_alias","def_final_decision","def_final_value","def_path_value","def_final_reason","def_scope","def_sandbox_action","def_source_mutation","def_canonical_merge","def_db_write"
"P1_ALIAS_PACK","FUNCTIONAL_MODULES_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","INCLUDE_ALIAS_IN_SANDBOX_INPUT","false","false","false"
"P1_ALIAS_PACK","PYTHON_ENV_ONEDRIVE","DEFER","","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics\_envs\via_operation_optimizer_2026\Scripts\python.exe","Edge alias decision retained as explicit DEFER by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","SUPPORTIVE_MODULES_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\supportive modules","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","INCLUDE_ALIAS_IN_SANDBOX_INPUT","false","false","false"
"P1_ALIAS_PACK","USER_DOWNLOADS","YES_REFERENCE_ONLY","C:\Users\tonyk\Downloads","C:\Users\tonyk\Downloads","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","INCLUDE_ALIAS_IN_SANDBOX_INPUT","false","false","false"
"P1_ALIAS_PACK","VDF_DIR_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\functional modules\VDF","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","INCLUDE_ALIAS_IN_SANDBOX_INPUT","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","YES","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics","Promoted from clean/reference alias draft by user confirmation.","future_generated_scripts_only","INCLUDE_ALIAS_IN_SANDBOX_INPUT","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","NO","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_BACKUP_ROLLBACK_STAGING_PLAN_HOTFIX_v02832_20260611_031541","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","NO","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","NO","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane1-FinalSealHealth.ps1","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","NO","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane2-ReadOnlyInventory.ps1","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_DOWNLOADS","NO","","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VIA_DUAL_PROJECT_SAFE_PARALLEL_GATE_v02872_20260611_205436\launchers\Start-VDF-Lane3-EnvSupportiveHardGate.ps...","Edge alias decision retained as explicit NO by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
"P1_ALIAS_PACK","VIA_ROOT_ONEDRIVE_LEGACY","DEFER","","C:\Users\tonyk\OneDrive\VeritasIntelligenceAnalytics","Edge alias decision retained as explicit DEFER by user confirmation.","future_generated_scripts_only","EXCLUDE_OR_DEFER_ALIAS","false","false","false"
