"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","COLLISION_RESOLVER_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","COLLISION_RESOLVER_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","COLLISION_RESOLVER_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435"
"Round0","POLICY","PRESERVE_VALID_ROWS","Original Valid Rows","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","COLLISION_RESOLVER_ONLY","preserve_original_valid","true","Original 120 valid rows are authoritative when collision occurs.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435"
"Round1","DISCOVERY","PRESERVED_VALID","v027.8.4 Preserved Valid Rows","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","COLLISION_RESOLVER_ONLY","source","preserved_valid","Locked preserved valid rows source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_INVALID_MAPPING_REPAIR_GATE_v02784_20260611_013222\preview\VDF_AkShare_InvalidRepair_PreservedValidRows_v02784.csv"
"Round1","DISCOVERY","REPAIRED_ROWS","v027.8.4 Repaired Rows","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","COLLISION_RESOLVER_ONLY","source","repaired_rows","Locked repaired rows source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_INVALID_MAPPING_REPAIR_GATE_v02784_20260611_013222\preview\VDF_AkShare_InvalidRepair_RepairedRows_v02784.csv"
"Round2","COLLISION_RESOLVER","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","COLLISION_RESOLVER_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T01:34:35.808773"", ""status"": ""VDF_AKSHARE_COLLISION_RESOLVER_GATE_BLOCKED"", ""risk"": ""HIGH"", ""recommendation"": ""BLOCK_V0279_UNTIL_DUPLICATE_REVIEW"", ""metrics"": {""preserved_valid_rows"": 120, ""input_repaired_rows"": 30, ""collision_quarantine_rows"": 0, ""non_collision_repaired_rows"": 30, ""final_valid_rows"": 150, ""duplicate_after_collision_policy"": 30, ""still_invalid_rows"": 0}, ""artifacts"": {""final_valid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\preview\\VDF_AkShare_CollisionResolver_FinalValidRows_v027841.csv"", ""final_valid_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\preview\\VDF_AkShare_CollisionResolver_FinalValidRows_v027841.json"", ""collision_quarantine_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\preview\\VDF_AkShare_CollisionResolver_CollisionQuarantineRows_v027841.csv"", ""non_collision_repaired_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\preview\\VDF_AkShare_CollisionResolver_NonCollisionRepairedRows_v027841.csv"", ""rootcause_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\registry\\VDF_AkShare_CollisionResolver_RootCause_v027841.csv"", ""collision_audit_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\registry\\VDF_AkShare_CollisionResolver_Audit_v027841.json"", ""execution_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\\plan\\VDF_AkShare_CollisionResolver_ExecutionGateReview_v027841.json""}, ""next_step"": ""v027.8.4.2 duplicate repair review only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\runtime\vdf_akshare_collision_resolver_gate_v027841.py"
"Round2","COLLISION_RESOLVER","PRESERVED_VALID","Preserved Valid Rows","OK_AUTHORITATIVE","LOW","SEQUENTIAL_GATED","P0","COLLISION_RESOLVER_ONLY","preserved_valid_rows","120","Preserved valid rows kept authoritative.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_INVALID_MAPPING_REPAIR_GATE_v02784_20260611_013222\preview\VDF_AkShare_InvalidRepair_PreservedValidRows_v02784.csv"
"Round2","COLLISION_RESOLVER","COLLISION_QUARANTINE","Collision Rows","OK_ZERO_COLLISION","LOW","SEQUENTIAL_GATED","P0","COLLISION_RESOLVER_ONLY","collision_quarantine_rows","0","No repaired collision rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\preview\VDF_AkShare_CollisionResolver_FinalValidRows_v027841.csv"
"Round2","COLLISION_RESOLVER","DUPLICATE_AFTER_POLICY","Duplicate After Collision Policy","BLOCK_DUPLICATE_REMAINS","HIGH","SEQUENTIAL_REQUIRED","P0","COLLISION_RESOLVER_ONLY","duplicate_after_collision_policy","30","Duplicate remains after collision policy.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\preview\VDF_AkShare_CollisionResolver_FinalValidRows_v027841.csv"
