"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","DEDUP_QUARANTINE_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","DEDUP_QUARANTINE_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","DEDUP_QUARANTINE_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926"
"Round1","DISCOVERY","SOURCE_PREVIEW","v027.8.2.2 Preview CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","DEDUP_QUARANTINE_ONLY","source_scope","v027.8.2.2_preview","Locked source to latest v027.8.2.2 preview CSV.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_FILELIST_CANONICALIZER_v027822_20260611_004445\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_Canonicalizer_v027822.csv"
"Round2","DEDUP_QUARANTINE","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","DEDUP_QUARANTINE_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T01:29:26.969712"", ""status"": ""VDF_AKSHARE_DEDUP_GATE_READY_WITH_INVALID_QUARANTINE"", ""risk"": ""MEDIUM"", ""recommendation"": ""ALLOW_V02784_INVALID_MAPPING_REPAIR_GATE_NO_DB_WRITE"", ""metrics"": {""input_rows"": 150, ""valid_rows"": 120, ""invalid_quarantine_rows"": 30, ""duplicate_rows"": 0, ""deduped_valid_rows"": 120, ""invalid_after"": 30, ""duplicate_after"": 0}, ""artifacts"": {""valid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\preview\\VDF_AkShare_DedupGate_ValidRows_v02783.csv"", ""invalid_quarantine_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\preview\\VDF_AkShare_DedupGate_InvalidQuarantineRows_v02783.csv"", ""duplicate_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\preview\\VDF_AkShare_DedupGate_DuplicateRows_v02783.csv"", ""deduped_valid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\preview\\VDF_AkShare_DedupGate_DedupedValidRows_v02783.csv"", ""deduped_valid_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\preview\\VDF_AkShare_DedupGate_DedupedValidRows_v02783.json"", ""rootcause_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\registry\\VDF_AkShare_DedupGate_InvalidRootCause_v02783.csv"", ""dedup_audit_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\registry\\VDF_AkShare_DedupGate_Audit_v02783.json"", ""quarantine_plan_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\plan\\VDF_AkShare_InvalidQuarantineRepairPlan_v02783.json"", ""execution_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\\plan\\VDF_AkShare_PostDedupExecutionGateReview_v02783.json""}, ""next_step"": ""v027.8.4 invalid mapping repair gate only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\runtime\vdf_akshare_dedup_invalid_quarantine_gate_v02783.py"
"Round2","DEDUP_QUARANTINE","VALID_ROWS","Valid Rows","OK_VALID_PARTITIONED","LOW","SEQUENTIAL_GATED","P0","DEDUP_QUARANTINE_ONLY","valid_rows","120","Valid rows partitioned.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\preview\VDF_AkShare_DedupGate_ValidRows_v02783.csv"
"Round2","DEDUP_QUARANTINE","INVALID_ROWS","Invalid Quarantine","WARN_INVALID_QUARANTINED","MEDIUM","SEQUENTIAL_GATED","P0","DEDUP_QUARANTINE_ONLY","invalid_after","30","Invalid rows quarantined; execution gate remains closed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\preview\VDF_AkShare_DedupGate_InvalidQuarantineRows_v02783.csv"
"Round2","DEDUP_QUARANTINE","DUPLICATE_ROWS","Duplicate Rows","OK_ZERO_DUPLICATE","LOW","SEQUENTIAL_GATED","P0","DEDUP_QUARANTINE_ONLY","duplicate_after","0","No duplicate rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\preview\VDF_AkShare_DedupGate_DedupedValidRows_v02783.csv"
"Round3","CONSOLIDATE","DEDUP_AUDIT","Dedup Audit","OK_AUDIT_CREATED","LOW","PARALLEL_SAFE","P1","DEDUP_QUARANTINE_ONLY","audit","created","Dedup audit generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\registry\VDF_AkShare_DedupGate_Audit_v02783.json"
"Round3","CONSOLIDATE","EXECUTION_GATE","Execution Gate Review","OK_GATE_CREATED","LOW","SEQUENTIAL_GATED","P1","DEDUP_QUARANTINE_ONLY","gate","closed_or_review","Execution gate review generated; no DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\plan\VDF_AkShare_PostDedupExecutionGateReview_v02783.json"
"Round3","CONSOLIDATE","LOCAL_FREE_LIBS","Top10 Local Free Libs","OK","LOW","PARALLEL_SAFE","P2","DEDUP_QUARANTINE_ONLY","rows","5","Top10 local free libs matrix generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\registry\VDF_Top10_LocalFreeLibs_DedupInvalidQuarantineGate_v02783.json"
"Round3","RESULT","READINESS","VDF_AKSHARE_DEDUP_GATE_READY_WITH_INVALID_QUARANTINE","WARN_REVIEW_READY","MEDIUM","SEQUENTIAL_GATED","P0","DEDUP_QUARANTINE_ONLY","recommendation","ALLOW_V02784_INVALID_MAPPING_REPAIR_GATE_NO_DB_WRITE","v027.8.3 completed. No DB write. No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DEDUP_INVALID_QUARANTINE_GATE_v02783_20260611_012926\runtime\vdf_akshare_dedup_invalid_quarantine_gate_result_v02783.json"
"Round3","POINTER","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK_UPDATED","LOW","PARALLEL_SAFE","P1","DEDUP_QUARANTINE_ONLY","update","complete","Active pointer updated with v027.8.3.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
