"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","DUPLICATE_REPAIR_REVIEW_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","DUPLICATE_REPAIR_REVIEW_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","DUPLICATE_REPAIR_REVIEW_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908"
"Round0","POLICY","QUARANTINE_DUPLICATES","Duplicate Policy","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","policy","keep_first_quarantine_rest","Keep first row per canonical_key; quarantine duplicate rest.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908"
"Round1","DISCOVERY","FINAL_VALID","v027.8.4.1 Final Valid Rows","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","source","final_valid_rows","Locked v027.8.4.1 final valid source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_COLLISION_RESOLVER_GATE_v027841_20260611_013435\preview\VDF_AkShare_CollisionResolver_FinalValidRows_v027841.csv"
"Round2","DUPLICATE_REPAIR_REVIEW","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","DUPLICATE_REPAIR_REVIEW_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T01:39:08.684923"", ""status"": ""VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_READY_WITH_DUPLICATE_QUARANTINE"", ""risk"": ""MEDIUM"", ""recommendation"": ""ALLOW_V0279_EXECUTION_READINESS_REVIEW_WITH_DUPLICATE_QUARANTINE_NO_DB_WRITE"", ""metrics"": {""input_rows"": 150, ""duplicate_group_count"": 1, ""duplicate_quarantine_rows"": 29, ""unique_final_rows"": 121, ""duplicate_after_repair_review"": 0, ""still_invalid_rows"": 0}, ""artifacts"": {""unique_final_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\preview\\VDF_AkShare_DuplicateRepair_UniqueFinalRows_v027842.csv"", ""unique_final_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\preview\\VDF_AkShare_DuplicateRepair_UniqueFinalRows_v027842.json"", ""duplicate_quarantine_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\preview\\VDF_AkShare_DuplicateRepair_DuplicateQuarantineRows_v027842.csv"", ""duplicate_groups_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\registry\\VDF_AkShare_DuplicateRepair_DuplicateGroups_v027842.csv"", ""duplicate_audit_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\registry\\VDF_AkShare_DuplicateRepair_Audit_v027842.json"", ""execution_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\\plan\\VDF_AkShare_DuplicateRepair_ExecutionGateReview_v027842.json""}, ""next_step"": ""v027.9 execution readiness review with duplicate quarantine; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\runtime\vdf_akshare_duplicate_repair_review_gate_v027842.py"
"Round2","DUPLICATE_REPAIR_REVIEW","UNIQUE_FINAL","Unique Final Rows","OK_CREATED","LOW","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","unique_final_rows","121","Unique final rows generated by canonical_key.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\preview\VDF_AkShare_DuplicateRepair_UniqueFinalRows_v027842.csv"
"Round2","DUPLICATE_REPAIR_REVIEW","DUPLICATE_QUARANTINE","Duplicate Quarantine Rows","WARN_DUPLICATE_QUARANTINED","MEDIUM","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","duplicate_quarantine_rows","29","Duplicate rows quarantined; not canonical-write eligible.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\preview\VDF_AkShare_DuplicateRepair_DuplicateQuarantineRows_v027842.csv"
"Round2","DUPLICATE_REPAIR_REVIEW","DUPLICATE_AFTER_REVIEW","Duplicate After Review","OK_ZERO_DUPLICATE","LOW","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","duplicate_after_repair_review","0","No duplicate remains in unique final rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\preview\VDF_AkShare_DuplicateRepair_UniqueFinalRows_v027842.csv"
"Round3","CONSOLIDATE","DUPLICATE_AUDIT","Duplicate Audit","OK_AUDIT_CREATED","LOW","PARALLEL_SAFE","P1","DUPLICATE_REPAIR_REVIEW_ONLY","audit","created","Duplicate repair audit generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\registry\VDF_AkShare_DuplicateRepair_Audit_v027842.json"
"Round3","CONSOLIDATE","EXECUTION_GATE","Execution Gate Review","OK_GATE_CREATED","LOW","SEQUENTIAL_GATED","P1","DUPLICATE_REPAIR_REVIEW_ONLY","gate","created","Execution gate review generated; no DB write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\plan\VDF_AkShare_DuplicateRepair_ExecutionGateReview_v027842.json"
"Round3","CONSOLIDATE","LOCAL_FREE_LIBS","Top10 Local Free Libs","OK","LOW","PARALLEL_SAFE","P2","DUPLICATE_REPAIR_REVIEW_ONLY","rows","5","Top10 local free libs matrix generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\registry\VDF_Top10_LocalFreeLibs_DuplicateRepairReviewGate_v027842.json"
"Round3","RESULT","READINESS","VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_READY_WITH_DUPLICATE_QUARANTINE","WARN_REVIEW_READY","MEDIUM","SEQUENTIAL_GATED","P0","DUPLICATE_REPAIR_REVIEW_ONLY","recommendation","ALLOW_V0279_EXECUTION_READINESS_REVIEW_WITH_DUPLICATE_QUARANTINE_NO_DB_WRITE","v027.8.4.2 completed. No DB write. No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_DUPLICATE_REPAIR_REVIEW_GATE_v027842_20260611_013908\runtime\vdf_akshare_duplicate_repair_review_gate_result_v027842.json"
"Round3","POINTER","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK_UPDATED","LOW","PARALLEL_SAFE","P1","DUPLICATE_REPAIR_REVIEW_ONLY","update","complete","Active pointer updated with v027.8.4.2.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
