"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","FREEZE_SEAL_REVIEW_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","FREEZE_SEAL_REVIEW_ONLY","db_write_enabled","false","No DATABASE write in v028.0.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","FREEZE_SEAL_REVIEW_ONLY","canonical_merge_enabled","false","No canonical merge in v028.0.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645"
"Round0","POLICY","FREEZE_ONLY","Freeze Seal","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","write_permission","false","Freeze seal copies artifacts only; no execution.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645"
"Round1","DISCOVERY","V0279_ROOT","Latest v027.9 Run","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","source","v0279","Locked latest v027.9 source.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210"
"Round1","DISCOVERY","READINESS_FINAL","Readiness Final CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","source","readiness_final","Readiness final source locked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210\preview\VDF_AkShare_v0279_ReadinessFinalRows.csv"
"Round1","DISCOVERY","DUPLICATE_QUARANTINE","Duplicate Quarantine CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","source","duplicate_quarantine","Duplicate quarantine source locked.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210\preview\VDF_AkShare_v0279_DuplicateQuarantineRows.csv"
"Round2","FREEZE","ARTIFACT_COPY","Frozen Artifacts","OK_FROZEN","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","artifact_count","7","Required v027.9 artifacts copied into freeze seal folder.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts"
"Round2","FREEZE_SEAL","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","FREEZE_SEAL_REVIEW_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T02:06:45.764990"", ""status"": ""VDF_AKSHARE_FREEZE_SEAL_REVIEW_READY_WITH_QUARANTINE"", ""risk"": ""MEDIUM"", ""recommendation"": ""ALLOW_V0281_USER_APPROVAL_GATE_FOR_WRITE_STAGE_DESIGN_NO_DB_WRITE"", ""metrics"": {""readiness_final_rows"": 121, ""duplicate_quarantine_rows"": 29, ""duplicate_after_freeze_check"": 0, ""still_invalid_rows"": 0, ""empty_canonical_key_rows"": 0, ""empty_value_rows"": 0}, ""artifacts"": {""freeze_seal_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645\\plan\\VDF_AkShare_v0280_FreezeSeal.json"", ""freeze_seal_copy_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_freeze\\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\\VDF_AkShare_v0280_FreezeSeal.json"", ""freeze_index_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_freeze\\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\\VDF_AkShare_v0280_FreezeIndex.json"", ""next_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645\\plan\\VDF_AkShare_v0281_NextGatePlan.json""}, ""next_step"": ""v028.1 user approval gate for write-stage design only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645\runtime\vdf_akshare_freeze_seal_review_v0280.py"
"Round2","FREEZE_SEAL","READINESS_FINAL","Readiness Final Rows","OK_FROZEN","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","readiness_final_rows","121","Readiness final rows frozen.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210\preview\VDF_AkShare_v0279_ReadinessFinalRows.csv"
"Round2","FREEZE_SEAL","DUPLICATE_QUARANTINE","Duplicate Quarantine Rows","WARN_QUARANTINE_FROZEN","MEDIUM","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","duplicate_quarantine_rows","29","Duplicate quarantine frozen and preserved.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_EXECUTION_READINESS_REVIEW_v0279_20260611_020210\preview\VDF_AkShare_v0279_DuplicateQuarantineRows.csv"
"Round2","FREEZE_SEAL","FREEZE_CHECK","Freeze Integrity Check","OK_READY","LOW","SEQUENTIAL_GATED","P0","FREEZE_SEAL_REVIEW_ONLY","defects","0","Freeze integrity checks passed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_FREEZE_SEAL_REVIEW_v0280_20260611_020645\plan\VDF_AkShare_v0280_FreezeSeal.json"
