"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","GENERATED_SCRIPT_REVIEW_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","GENERATED_SCRIPT_REVIEW_ONLY","db_write_enabled","false","No DATABASE write in v028.5.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","GENERATED_SCRIPT_REVIEW_ONLY","canonical_merge_enabled","false","No canonical merge in v028.5.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304"
"Round0","POLICY","NO_SCRIPT_EXECUTION","Generated Script","OK_POLICY_LOCKED","LOW","SEQUENTIAL_REQUIRED","P0","GENERATED_SCRIPT_REVIEW_ONLY","script_execute_now","false","Review only. Generated script is not executed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304"
"Round1","DISCOVERY","V0284_RUN","v028.4 RunRoot","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","GENERATED_SCRIPT_REVIEW_ONLY","source","v0284","Locked latest v028.4 generated-script run.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432"
"Round1","DISCOVERY","GENERATED_SCRIPT","Generated Script","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","GENERATED_SCRIPT_REVIEW_ONLY","source","ps1","Generated script found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round1","HASH","REAL_SHA256","Generated Script SHA256","OK_REAL_HASH","LOW","PARALLEL_SAFE","P0","GENERATED_SCRIPT_REVIEW_ONLY","sha256","7EE93582609BBD957CF8EB56245A84C14D5A3C154A611C99D4138CCD66186445","Real SHA256 computed.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round2","STATIC_REVIEW","AST_PARSE","PowerShell AST","BLOCK_AST_PARSE_FAIL","HIGH","SEQUENTIAL_REQUIRED","P0","GENERATED_SCRIPT_REVIEW_ONLY","parse_errors","2","The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property. | The assignment expression is not valid. The input to an assignment operator must be an object that is able to accept assignments, such as a variable or a property.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round2","STATIC_REVIEW","FORBIDDEN_COMMANDS","Forbidden Commands","OK_NONE_FOUND","LOW","PARALLEL_SAFE","P0","GENERATED_SCRIPT_REVIEW_ONLY","commands","0","No forbidden command found.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round2","STATIC_REVIEW","GUARD_RAILS","Guard Rails","OK_GUARDS_PRESENT","LOW","SEQUENTIAL_GATED","P0","GENERATED_SCRIPT_REVIEW_ONLY","guards","present","Token/switch/review-only/disabled-execution guards present.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round2","STATIC_REVIEW","NO_EXIT_POLICY","No Exit Policy","OK_POLICY_TEXT_PRESENT","LOW","PARALLEL_SAFE","P1","GENERATED_SCRIPT_REVIEW_ONLY","text","present","PowerShell remains open message present.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round2","STATIC_REVIEW","DATABASE_REFERENCE","DATABASE Reference","WARN_REFERENCE_ONLY","MEDIUM","SEQUENTIAL_GATED","P1","GENERATED_SCRIPT_REVIEW_ONLY","database_reference","present","Script references DATABASE path, but execution path is disabled.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_STAGING_WRITE_SCRIPT_GENERATION_APPROVAL_v0284_20260611_033432\generated_script\Invoke-VDF-AkShare-StagingWrite-GENERATED-NOT-RUN-v0285.ps1"
"Round3","CONSOLIDATE","SCRIPT_REVIEW","Script Review JSON","OK_REVIEW_CREATED","LOW","SEQUENTIAL_GATED","P0","GENERATED_SCRIPT_REVIEW_ONLY","review","created","Generated script review created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\plan\VDF_AkShare_v0285_GeneratedScriptReview.json"
"Round3","CONSOLIDATE","COMMAND_INVENTORY","Command Inventory CSV","OK_INVENTORY_CREATED","LOW","PARALLEL_SAFE","P1","GENERATED_SCRIPT_REVIEW_ONLY","commands","25","Command inventory created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\registry\VDF_AkShare_v0285_CommandInventory.csv"
"Round3","APPROVAL","USER_GATE","Approval Gate","WARN_APPROVAL_REQUIRED","MEDIUM","SEQUENTIAL_REQUIRED","P0","GENERATED_SCRIPT_REVIEW_ONLY","approved_now","false","Actual write still not approved.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_GENERATED_SCRIPT_REVIEW_v0285_20260611_101304\plan\VDF_AkShare_v0285_UserApprovalGate.json"
