"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","HOTFIX","FILE_LIST_JSON","Single-file JSON Array","OK_HOTFIX_APPLIED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","bug","single_string_iterated_as_chars","Force JSON file list to array even when only one source file exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618"
"Round1","DISCOVERY","SOURCE_ROOT","VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_HOTFIX_ONLY","source_scope","v027.4_only","Locked source scope to v027.4 staging candidate only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643"
"Round1","DISCOVERY","SOURCE_FILES","v027.4 staging CSV","OK","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_HOTFIX_ONLY","file_count","1","Only v027.4 staging source CSV files selected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\registry\VDF_AkShare_NarrowSource_InputInventory_Hotfix_v027821.csv"
"Round1","DISCOVERY","FILE_LIST_JSON","Array Guard","OK_ARRAY_CONFIRMED","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_HOTFIX_ONLY","array_count","1","File list JSON confirmed as array of objects.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_v0274_source_file_list_hotfix_v027821.json"
"Round2","NARROW_DRYRUN_HOTFIX","PYTHON_ENGINE","vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py","OK_SCRIPT_CREATED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","engine","python","Narrow-source hotfix Python engine written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py"
"Round2","NARROW_DRYRUN_HOTFIX","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_HOTFIX_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T00:26:19.100551"", ""status"": ""VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_BLOCKED"", ""risk"": ""HIGH"", ""recommendation"": ""BLOCK_V02783_UNTIL_NARROW_SOURCE_VALUE_MAPPING_REVIEW"", ""metrics"": {""source_files"": 0, ""profile_columns"": 0, ""selection_files"": 0, ""preview_rows"": 0, ""valid_rows"": 0, ""invalid_after"": 0, ""duplicate_after"": 0}, ""artifacts"": {""profile_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\registry\\VDF_AkShare_NarrowSource_RawColumnProfile_Hotfix_v027821.csv"", ""selection_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\registry\\VDF_AkShare_NarrowSource_RawColumnSelection_Hotfix_v027821.csv"", ""preview_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\preview\\VDF_AkShare_NarrowSource_ContractDryRunPreview_Hotfix_v027821.csv"", ""preview_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\preview\\VDF_AkShare_NarrowSource_ContractDryRunPreview_Hotfix_v027821.json"", ""invalid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\preview\\VDF_AkShare_NarrowSource_InvalidRows_Hotfix_v027821.csv"", ""duplicate_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\preview\\VDF_AkShare_NarrowSource_DuplicateRows_Hotfix_v027821.csv"", ""rootcause_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\registry\\VDF_AkShare_NarrowSource_RootCause_Hotfix_v027821.csv"", ""contract_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\plan\\VDF_AkShare_NarrowSource_CanonicalKeyContract_Hotfix_v027821.json"", ""execution_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\\plan\\VDF_AkShare_NarrowSource_ExecutionGateReview_Hotfix_v027821.json""}, ""next_step"": ""v027.8.3 dedup gate only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\runtime\vdf_akshare_narrow_source_contract_dryrun_hotfix_v027821.py"
"Round2","NARROW_DRYRUN_HOTFIX","PREVIEW","Narrow Contract Preview","OK_PREVIEW_CREATED","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_HOTFIX_ONLY","preview_rows","0","Narrow-source contract preview generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_HOTFIX_v027821_20260611_002618\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_Hotfix_v027821.csv"
