"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_DRYRUN_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_DRYRUN_ONLY","db_write_enabled","false","No DATABASE write.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_DRYRUN_ONLY","canonical_merge_enabled","false","No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315"
"Round1","DISCOVERY","SOURCE_ROOT","VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","source_scope","v027.4_only","Locked source scope to v027.4 staging candidate only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_SMALL_SCOPE_CANDIDATE_SEED_STAGING_v0274_20260610_145643"
"Round1","DISCOVERY","SOURCE_FILES","v027.4 staging CSV","OK","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","file_count","1","Only v027.4 staging source CSV files selected.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_AkShare_NarrowSource_InputInventory_v02782.csv"
"Round2","NARROW_DRYRUN","PYTHON_ENGINE","vdf_akshare_narrow_source_contract_dryrun_v02782.py","OK_SCRIPT_CREATED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_DRYRUN_ONLY","engine","python","Narrow-source Python dry-run engine written.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_v02782.py"
"Round2","NARROW_DRYRUN","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","NARROW_SOURCE_DRYRUN_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T00:23:16.416424"", ""status"": ""VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_BLOCKED"", ""risk"": ""HIGH"", ""recommendation"": ""BLOCK_V02783_UNTIL_NARROW_SOURCE_VALUE_MAPPING_REVIEW"", ""metrics"": {""source_files"": 196, ""profile_columns"": 0, ""selection_files"": 0, ""preview_rows"": 0, ""valid_rows"": 0, ""invalid_after"": 0, ""duplicate_after"": 0}, ""artifacts"": {""profile_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\registry\\VDF_AkShare_NarrowSource_RawColumnProfile_v02782.csv"", ""selection_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\registry\\VDF_AkShare_NarrowSource_RawColumnSelection_v02782.csv"", ""preview_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\preview\\VDF_AkShare_NarrowSource_ContractDryRunPreview_v02782.csv"", ""preview_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\preview\\VDF_AkShare_NarrowSource_ContractDryRunPreview_v02782.json"", ""invalid_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\preview\\VDF_AkShare_NarrowSource_InvalidRows_v02782.csv"", ""duplicate_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\preview\\VDF_AkShare_NarrowSource_DuplicateRows_v02782.csv"", ""rootcause_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\registry\\VDF_AkShare_NarrowSource_RootCause_v02782.csv"", ""contract_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\plan\\VDF_AkShare_NarrowSource_CanonicalKeyContract_v02782.json"", ""execution_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\\plan\\VDF_AkShare_NarrowSource_ExecutionGateReview_v02782.json""}, ""next_step"": ""v027.8.3 dedup gate only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_v02782.py"
"Round2","NARROW_DRYRUN","PREVIEW","Narrow Contract Preview","OK_PREVIEW_CREATED","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","preview_rows","0","Narrow-source contract preview generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_v02782.csv"
"Round2","NARROW_DRYRUN","INVALID_ROWS","Invalid Rows","OK_ZERO_INVALID","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","invalid_after","0","No invalid rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_v02782.csv"
"Round2","NARROW_DRYRUN","DUPLICATE_ROWS","Duplicate Rows","OK_ZERO_DUPLICATE","LOW","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","duplicate_after","0","No duplicate rows.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\preview\VDF_AkShare_NarrowSource_ContractDryRunPreview_v02782.csv"
"Round3","CONSOLIDATE","ENV_HASH","Environment Hash Manifest","OK","LOW","PARALLEL_SAFE","P1","NARROW_SOURCE_DRYRUN_ONLY","files","5","Environment hash manifest created.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_EnvironmentHashManifest_v02782.csv"
"Round3","CONSOLIDATE","LOCAL_FREE_LIBS","Top10 Local Free Libs","OK","LOW","PARALLEL_SAFE","P2","NARROW_SOURCE_DRYRUN_ONLY","rows","6","Top10 local free libs matrix generated.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\registry\VDF_Top10_LocalFreeLibs_NarrowSourceContractDryRun_v02782.json"
"Round3","RESULT","READINESS","VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_BLOCKED","BLOCKED","HIGH","SEQUENTIAL_GATED","P0","NARROW_SOURCE_DRYRUN_ONLY","recommendation","BLOCK_V02783_UNTIL_NARROW_SOURCE_VALUE_MAPPING_REVIEW","v027.8.2 completed. No DB write. No canonical merge.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_NARROW_SOURCE_CONTRACT_DRYRUN_v02782_20260611_002315\runtime\vdf_akshare_narrow_source_contract_dryrun_result_v02782.json"
"Round3","POINTER","ACTIVE_POINTER","VDF_ACTIVE_POINTER.json","OK_UPDATED","LOW","PARALLEL_SAFE","P1","NARROW_SOURCE_DRYRUN_ONLY","update","complete","Active pointer updated with v027.8.2.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_ACTIVE_POINTER.json"
