file_path,file_name,column_name,row_count,non_blank_count,non_blank_ratio,unique_count,numeric_ratio,date_ratio,symbol_score,date_score,value_score,source_score,sample_values
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\plan\VDF_AkShare_CandidateToCanonicalDryRunPlan_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPlan_v0278.json,0,7,7,1.0,7,0.1429,0.0,15,0,0,10,Dry-run only. | No DATABASE write. | No canonical merge. | No destructive delete. | No Stop-Process. | No exit. | Future v027.9 must be execution gate review only.
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,canonical_family,150,150,1.0,1,0.0,0.0,25,0,0,10,VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,symbol,150,150,1.0,2,0.0,0.0,85,0,0,10,STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,date,150,120,0.8,120,1.0,1.0,-50,100,-45,10,2026-02-11 | 2026-02-12 | 2026-02-13 | 2026-02-14 | 2026-02-15 | 2026-02-16 | 2026-02-17 | 2026-02-18
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,value,150,30,0.2,30,0.0333,0.0,10,0,60,0,FEF | FCPO | RSS3 | RS | BTC | CT | NID | PBD
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,source,150,150,1.0,2,0.0,0.0,25,0,0,90,stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,unit,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,frequency,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,description,150,150,1.0,2,0.0,0.0,25,0,0,10,STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,route,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,vdf_mapping_gate,150,150,1.0,1,1.0,0.0,0,-25,45,10,v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,vdf_mapping_policy,150,150,1.0,1,0.0,0.0,25,0,0,10,PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,vdf_target_table,150,150,1.0,1,0.0,0.0,25,0,0,10,VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,vdf_seeded_at,150,150,1.0,2,1.0,1.0,-40,40,-5,10,2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,vdf_original_row_hash,150,150,1.0,150,1.0,0.04,-10,-25,45,90,c40c2417ebcd7bbd | 3b448f17b94509de | 8684c9acc94b1000 | 09f777d25015dc7d | ca18e72573fe5a0f | 0dcea352e5f26e04 | 5d472fb1b3e9abab | 535bf7b6e3430232
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,_vdf_overlap_existing,150,150,1.0,1,0.0,0.0,25,0,0,10,False | False | False | False | False | False | False | False
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,_vdf_dryrun_action,150,150,1.0,1,0.0,0.0,25,0,0,10,ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE | ADD_CANDIDATE
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,_vdf_dryrun_policy,150,150,1.0,1,0.0,0.0,25,0,0,10,DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE | DRYRUN_ONLY_NO_DATABASE_WRITE
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.csv,_vdf_dryrun_at,150,150,1.0,1,1.0,1.0,-40,40,-5,10,2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05 | 2026-06-10 22:07:05
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,canonical_family,150,150,1.0,1,0.0,0.0,25,0,0,10,VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity | VDF_Global_Commodity
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,symbol,150,150,1.0,2,0.0,0.0,85,0,0,10,STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,date,150,120,0.8,120,1.0,1.0,-50,100,-45,10,2026-02-11 | 2026-02-12 | 2026-02-13 | 2026-02-14 | 2026-02-15 | 2026-02-16 | 2026-02-17 | 2026-02-18
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,value,150,30,0.2,30,0.0333,0.0,10,0,60,0,FEF | FCPO | RSS3 | RS | BTC | CT | NID | PBD
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,source,150,150,1.0,2,0.0,0.0,25,0,0,90,stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em | stock_hk_hot_rank_detail_em
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,unit,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,frequency,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,description,150,150,1.0,2,0.0,0.0,25,0,0,10,STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL | STEEL
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,route,150,0,0.0,0,0.0,0.0,10,0,0,0,
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,vdf_mapping_gate,150,150,1.0,1,1.0,0.0,0,-25,45,10,v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7 | v027.7
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,vdf_mapping_policy,150,150,1.0,1,0.0,0.0,25,0,0,10,PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE | PREVIEW_ONLY_NO_DATABASE_WRITE
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,vdf_target_table,150,150,1.0,1,0.0,0.0,25,0,0,10,VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate | VDF_Global_Commodity_AkShare_Candidate
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,vdf_seeded_at,150,150,1.0,2,1.0,1.0,-40,40,-5,10,2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16 | 2026-06-10 14:58:16
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,vdf_original_row_hash,150,150,1.0,150,1.0,0.04,-10,-25,45,90,c40c2417ebcd7bbd | 3b448f17b94509de | 8684c9acc94b1000 | 09f777d25015dc7d | ca18e72573fe5a0f | 0dcea352e5f26e04 | 5d472fb1b3e9abab | 535bf7b6e3430232
C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_CANDIDATE_TO_CANONICAL_DRYRUN_v0278_20260610_220705\preview\VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,VDF_AkShare_CandidateToCanonicalDryRunPreview_v0278.json,_vdf_overlap_existing,150,150,1.0,1,0.0,0.0,25,0,0,10,False | False | False | False | False | False | False | False
