"Round","Stage","Layer","Name","Status","Risk","FixClass","Priority","Mode","Metric","Value","Message","Path"
"Round0","BOOT","PROJECT_ROOT","VeritasIntelligenceAnalytics","OK","LOW","PARALLEL_SAFE","P0","WRITE_DRYRUN_COMPARE_ONLY","exists","true","Project root exists.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics"
"Round0","POLICY","NO_DB_WRITE","DATABASE","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","WRITE_DRYRUN_COMPARE_ONLY","db_write_enabled","false","No DATABASE write in v028.2.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\DATABASE"
"Round0","POLICY","NO_CANONICAL_MERGE","Canonical Merge","OK_POLICY_LOCKED","LOW","PARALLEL_SAFE","P0","WRITE_DRYRUN_COMPARE_ONLY","canonical_merge_enabled","false","No canonical merge in v028.2.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351"
"Round0","POLICY","COMPARE_ONLY","Dry-run Compare","OK_POLICY_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_DRYRUN_COMPARE_ONLY","actual_write_allowed","false","This stage can only compare and output delta previews.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351"
"Round1","DISCOVERY","WRITE_DESIGN","v028.1 Write Design","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_DRYRUN_COMPARE_ONLY","source","write_design","Locked v028.1 write design.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_USER_APPROVAL_GATE_WRITE_STAGE_DESIGN_v0281_20260611_021402\plan\VDF_AkShare_v0281_WriteStageDesign.json"
"Round1","DISCOVERY","CANDIDATE_ROWS","Readiness Candidate CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_DRYRUN_COMPARE_ONLY","source","readiness_final","Locked candidate rows for compare only.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts\VDF_AkShare_v0279_ReadinessFinalRows.csv"
"Round1","DISCOVERY","DUPLICATE_QUARANTINE","Duplicate Quarantine CSV","OK_SOURCE_LOCKED","LOW","SEQUENTIAL_GATED","P0","WRITE_DRYRUN_COMPARE_ONLY","source","duplicate_quarantine","Locked duplicate quarantine; excluded from candidate compare.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_freeze\VDF_AKSHARE_FREEZE_SEAL_v0280_20260611_020645\artifacts\VDF_AkShare_v0279_DuplicateQuarantineRows.csv"
"Round1","DISCOVERY","CANONICAL_EXISTING","Existing Canonical Candidate","OK_FOUND","LOW","PARALLEL_SAFE","P1","WRITE_DRYRUN_COMPARE_ONLY","candidate_files","3","Existing canonical candidate files inventoried.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\registry\VDF_AkShare_v0282_CanonicalInventory.csv"
"Round2","DRYRUN_COMPARE","PYTHON_ENGINE","Execution","OK_EXECUTED","LOW","PARALLEL_SAFE","P0","WRITE_DRYRUN_COMPARE_ONLY","stdout","ok","{""generated_at"": ""2026-06-11T02:43:52.937565"", ""status"": ""VDF_AKSHARE_WRITE_DRYRUN_COMPARE_READY"", ""risk"": ""MEDIUM"", ""recommendation"": ""ALLOW_V0283_BACKUP_ROLLBACK_STAGING_PLAN_ONLY_NO_DB_WRITE"", ""metrics"": {""candidate_rows"": 121, ""duplicate_quarantine_rows"": 29, ""existing_rows_loaded"": 1, ""existing_files_loaded"": 3, ""insert_rows"": 121, ""update_rows"": 0, ""unchanged_rows"": 0, ""conflict_rows"": 0, ""db_write_enabled"": false, ""canonical_merge_enabled"": false}, ""artifacts"": {""insert_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_DryRun_InsertRows.csv"", ""update_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_DryRun_UpdateRows.csv"", ""unchanged_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_DryRun_UnchangedRows.csv"", ""conflict_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_DryRun_ConflictRows.csv"", ""candidate_copy_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_CandidateRows_Copy.csv"", ""duplicate_quarantine_copy_csv"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\preview\\VDF_AkShare_v0282_DuplicateQuarantine_Copy.csv"", ""summary_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\plan\\VDF_AkShare_v0282_DryRunCompareSummary.json"", ""next_gate_json"": ""C:\\Users\\tonyk\\Downloads\\VeritasIntelligenceAnalytics\\dict\\VDF\\_active\\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\\plan\\VDF_AkShare_v0283_BackupRollbackStagingPlan.json""}, ""next_step"": ""v028.3 backup rollback staging plan only; no DB write""}
","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\runtime\vdf_akshare_write_dryrun_compare_v0282.py"
"Round2","DRYRUN_COMPARE","CANDIDATE_ROWS","Candidate Rows","OK_LOADED","LOW","SEQUENTIAL_GATED","P0","WRITE_DRYRUN_COMPARE_ONLY","candidate_rows","121","Candidate rows loaded for dry-run compare.","C:\Users\tonyk\Downloads\VeritasIntelligenceAnalytics\dict\VDF\_active\VDF_AKSHARE_WRITE_DRYRUN_COMPARE_v0282_20260611_024351\preview\VDF_AkShare_v0282_CandidateRows_Copy.csv"
