資料日期,證券代號,證券名稱,暫停現股賣出後現款買進當沖註記
1150609,006201,元大富櫃50,
1150609,00679B,元大美債20年,
1150609,00687B,國泰20年美債,
1150609,00694B,富邦美債1-3,
1150609,00695B,富邦美債7-10,
1150609,00696B,富邦美債20年,
1150609,00697B,元大美債7-10,
1150609,00719B,元大美債1-3,
1150609,00720B,元大投資級公司債,
1150609,00722B,群益投資級電信債,
1150609,00723B,群益投資級科技債,
1150609,00724B,群益投資級金融債,
1150609,00725B,國泰投資級公司債,
1150609,00726B,國泰新興投等債,
1150609,00727B,國泰優選非投等債,
1150609,00734B,台新JPM新興債,
1150609,00740B,富邦全球投等債,
1150609,00741B,富邦全球非投等債,
1150609,00746B,富邦A級公司債,
1150609,00749B,凱基新興債10+,
1150609,00750B,凱基科技債10+,
1150609,00751B,元大AAA至A公司債,
1150609,00754B,群益AAA-AA公司債,
1150609,00755B,群益投資級公用債,
1150609,00756B,群益投等新興公債,
1150609,00758B,復華能源債,
1150609,00759B,復華製藥債,
1150609,00760B,復華新興企業債,
1150609,00761B,國泰A級公司債,
1150609,00764B,群益25年美債,
1150609,00768B,復華20年美債,
1150609,00772B,中信高評級公司債,
1150609,00773B,中信優先金融債,
1150609,00777B,凱基AAA至A公司債,
1150609,00778B,凱基金融債20+,
1150609,00779B,凱基美債25+,
1150609,00780B,國泰A級金融債,
1150609,00781B,國泰A級科技債,
1150609,00782B,國泰A級公用債,
1150609,00785B,富邦金融投等債,
1150609,00786B,元大10年IG銀行債,
1150609,00787B,元大10年IG醫療債,
1150609,00788B,元大10年IG電能債,
1150609,00789B,復華公司債A3,
1150609,00791B,復華信用債1-5,
1150609,00792B,群益A級公司債,
1150609,00793B,群益AAA-A醫療債,
1150609,00795B,中信美國公債20年,
1150609,00799B,國泰A級醫療債,
1150609,00834B,第一金金融債10+,
1150609,00836B,永豐10年A公司債,
1150609,00840B,凱基IG精選15+,
1150609,00841B,凱基AAA-AA公司債,
1150609,00842B,台新美元銀行債,
1150609,00844B,新光15年IG金融債,
1150609,00845B,富邦新興投等債,
1150609,00846B,富邦歐洲銀行債,
1150609,00847B,中信美國市政債,
1150609,00848B,中信新興亞洲債,
1150609,00849B,中信EM主權債0-5,
1150609,00853B,統一美債10年Aa-A,
1150609,00856B,永豐1-3年美公債,
1150609,00857B,永豐20年美公債,
1150609,00858,永豐美國500大,
1150609,00859B,群益0-1年美債,
1150609,00860B,群益1-5Y投資級債,
